id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
143,CH_Battery,2030,6,11,15,-1.593
144,CH_Battery,2030,6,16,24,0.0
145,CH_Battery,2030,7,1,5,0.0
146,CH_Battery,2030,7,6,10,0.0
147,CH_Battery,2030,7,11,15,0.0
148,CH_Battery,2030,7,16,24,0.0
149,CH_Battery,2030,8,1,5,0.0
150,CH_Battery,2030,8,6,10,0.0
151,CH_Battery,2030,8,11,15,0.0
152,CH_Battery,2030,8,16,24,0.0
153,CH_Battery,2030,9,1,5,0.0
154,CH_Battery,2030,9,6,10,0.0
155,CH_Battery,2030,9,11,15,0.0
156,CH_Battery,2030,9,16,24,0.0
157,CH_Battery,2030,10,1,5,0.0
158,CH_Battery,2030,10,6,10,0.0
159,CH_Battery,2030,10,11,15,0.0
160,CH_Battery,2030,10,16,24,0.0
161,CY_Battery,2030,1,1,5,0.0
162,CY_Battery,2030,1,6,10,0.0
163,CY_Battery,2030,1,11,15,-7.771501265803572
164,CY_Battery,2030,1,16,24,-1.1480482326658188
165,CY_Battery,2030,2,1,5,0.0
166,CY_Battery,2030,2,6,10,0.0
167,CY_Battery,2030,2,11,15,0.0
168,CY_Battery,2030,2,16,24,0.0
169,CY_Battery,2030,3,1,5,0.0
170,CY_Battery,2030,3,6,10,-1.2021162071969127
171,CY_Battery,2030,3,11,15,0.0
172,CY_Battery,2030,3,16,24,0.0
173,CY_Battery,2030,4,1,5,0.0
174,CY_Battery,2030,4,6,10,0.0
175,CY_Battery,2030,4,11,15,0.0
176,CY_Battery,2030,4,16,24,0.0
177,CY_Battery,2030,5,1,5,0.0
178,CY_Battery,2030,5,6,10,0.0
179,CY_Battery,2030,5,11,15,0.0
180,CY_Battery,2030,5,16,24,0.0
181,CY_Battery,2030,6,1,5,0.0
182,CY_Battery,2030,6,6,10,0.0
183,CY_Battery,2030,6,11,15,0.0
184,CY_Battery,2030,6,16,24,0.0
185,CY_Battery,2030,7,1,5,0.0
186,CY_Battery,2030,7,6,10,0.0
187,CY_Battery,2030,7,11,15,-3.2745
188,CY_Battery,2030,7,16,24,0.0
189,CY_Battery,2030,8,1,5,0.0
190,CY_Battery,2030,8,6,10,0.0
191,CY_Battery,2030,8,11,15,0.0
192,CY_Battery,2030,8,16,24,0.0
193,CY_Battery,2030,9,1,5,0.0
194,CY_Battery,2030,9,6,10,0.0
195,CY_Battery,2030,9,11,15,0.0
196,CY_Battery,2030,9,16,24,0.0
197,CY_Battery,2030,10,1,5,0.0
198,CY_Battery,2030,10,6,10,0.0
199,CY_Battery,2030,10,11,15,0.0
200,CY_Battery,2030,10,16,24,0.0
201,CZ_Battery,2030,1,1,5,0.0
