asset,initial_storage_level,investable,max_energy_timeframe_partition,milestone_year,min_energy_timeframe_partition,peak_demand,storage_inflows,units_on_cost
NL_Solar,0.0,true,,2050,,,0.0,0.0
NL_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
NL_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
NL_Coal,0.0,true,,2050,,,0.0,0.0
NL_Nuclear,0.0,true,,2050,,,0.0,0.0
NL_CCGT,0.0,true,,2050,,,0.0,0.0
NL_OCGT,0.0,true,,2050,,,0.0,0.0
NL_Battery,0.0,true,,2050,,,0.0,
NL_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
NL_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
NL_Coal2,0.0,true,,2050,,,0.0,0.0
NL_Nuclear2,0.0,true,,2050,,,0.0,0.0
BE_Solar,0.0,true,,2050,,,0.0,0.0
BE_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
BE_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
BE_Coal,0.0,true,,2050,,,0.0,0.0
BE_Nuclear,0.0,true,,2050,,,0.0,0.0
BE_CCGT,0.0,true,,2050,,,0.0,0.0
BE_OCGT,0.0,true,,2050,,,0.0,0.0
BE_Battery,0.0,true,,2050,,,0.0,
BE_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
BE_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
BE_Coal2,0.0,true,,2050,,,0.0,0.0
BE_Nuclear2,0.0,true,,2050,,,0.0,0.0
DE_Solar,0.0,true,,2050,,,0.0,0.0
DE_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
DE_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
DE_Coal,0.0,true,,2050,,,0.0,0.0
DE_Nuclear,0.0,true,,2050,,,0.0,0.0
DE_CCGT,0.0,true,,2050,,,0.0,0.0
DE_OCGT,0.0,true,,2050,,,0.0,0.0
DE_Battery,0.0,true,,2050,,,0.0,
DE_Wind_Onshore2,0.0,true,,2050,,,0.0,0.0
DE_Wind_Offshore2,0.0,true,,2050,,,0.0,0.0
DE_Coal2,0.0,true,,2050,,,0.0,0.0
DE_Nuclear2,0.0,true,,2050,,,0.0,0.0
FR_Solar,0.0,true,,2050,,,0.0,0.0
FR_Wind_Onshore,0.0,true,,2050,,,0.0,0.0
FR_Wind_Offshore,0.0,true,,2050,,,0.0,0.0
FR_Coal,0.0,true,,2050,,,0.0,0.0
FR_Nuclear,0.0,true,,2050,,,0.0,0.0
FR_CCGT,0.0,true,,2050,,,0.0,0.0
FR_OCGT,0.0,true,,2050,,,0.0,0.0
