id,asset,year,rep_period,time_block_start,time_block_end,dual_max_ramp_up_with_unit_commitment,dual_max_ramp_down_with_unit_commitment
2774,SI_Nuclear,2050,2,1,8,-0.0,-0.0
2775,SI_Nuclear,2050,2,9,16,0.0,0.0
2776,SI_Nuclear,2050,2,17,24,0.0,0.0
2777,SI_Nuclear,2050,3,1,8,-0.0,-0.0
2778,SI_Nuclear,2050,3,9,16,0.0,0.0
2779,SI_Nuclear,2050,3,17,24,0.0,0.0
2780,SI_Nuclear,2050,4,1,8,-0.0,-0.0
2781,SI_Nuclear,2050,4,9,16,0.0,0.0
2782,SI_Nuclear,2050,4,17,24,0.0,0.0
2783,SI_Nuclear,2050,5,1,8,-0.0,-0.0
2784,SI_Nuclear,2050,5,9,16,0.0,0.0
2785,SI_Nuclear,2050,5,17,24,0.0,0.0
2786,SI_Nuclear,2050,6,1,8,-0.0,-0.0
2787,SI_Nuclear,2050,6,9,16,0.0,0.0
2788,SI_Nuclear,2050,6,17,24,0.0,0.0
2789,SI_Nuclear,2050,7,1,8,-0.0,-0.0
2790,SI_Nuclear,2050,7,9,16,0.0,0.0
2791,SI_Nuclear,2050,7,17,24,0.0,0.0
2792,SI_Nuclear,2050,8,1,8,-0.0,-0.0
2793,SI_Nuclear,2050,8,9,16,0.0,0.0
2794,SI_Nuclear,2050,8,17,24,0.0,0.0
2795,SI_Nuclear,2050,9,1,8,-0.0,-0.0
2796,SI_Nuclear,2050,9,9,16,0.0,0.0
2797,SI_Nuclear,2050,9,17,24,0.0,0.0
2798,SI_Nuclear,2050,10,1,8,-0.0,-0.0
2799,SI_Nuclear,2050,10,9,16,0.0,0.0
2800,SI_Nuclear,2050,10,17,24,0.0,0.0
2801,SI_OCGT,2050,1,1,8,-0.0,-0.0
2802,SI_OCGT,2050,1,9,16,0.0,0.0
2803,SI_OCGT,2050,1,17,24,0.0,0.0
2804,SI_OCGT,2050,2,1,8,-0.0,-0.0
2805,SI_OCGT,2050,2,9,16,0.0,0.0
2806,SI_OCGT,2050,2,17,24,0.0,0.0
2807,SI_OCGT,2050,3,1,8,-0.0,-0.0
2808,SI_OCGT,2050,3,9,16,0.0,0.0
2809,SI_OCGT,2050,3,17,24,0.0,0.0
2810,SI_OCGT,2050,4,1,8,-0.0,-0.0
2811,SI_OCGT,2050,4,9,16,0.0,0.0
2812,SI_OCGT,2050,4,17,24,0.0,0.0
2813,SI_OCGT,2050,5,1,8,-0.0,-0.0
2814,SI_OCGT,2050,5,9,16,0.0,0.0
2815,SI_OCGT,2050,5,17,24,0.0,0.0
2816,SI_OCGT,2050,6,1,8,-0.0,-0.0
2817,SI_OCGT,2050,6,9,16,0.0,0.0
2818,SI_OCGT,2050,6,17,24,0.0,0.0
2819,SI_OCGT,2050,7,1,8,-0.0,-0.0
2820,SI_OCGT,2050,7,9,16,0.0,0.0
2821,SI_OCGT,2050,7,17,24,0.0,0.0
2822,SI_OCGT,2050,8,1,8,-0.0,-0.0
2823,SI_OCGT,2050,8,9,16,0.0,0.0
2824,SI_OCGT,2050,8,17,24,0.0,0.0
2825,SI_OCGT,2050,9,1,8,-0.0,-0.0
2826,SI_OCGT,2050,9,9,16,0.0,0.0
2827,SI_OCGT,2050,9,17,24,0.0,0.0
2828,SI_OCGT,2050,10,1,8,-0.0,-0.0
2829,SI_OCGT,2050,10,9,16,0.0,0.0
2830,SI_OCGT,2050,10,17,24,0.0,0.0
2831,SK_Coal,2050,1,1,8,-0.0,-0.0
2832,SK_Coal,2050,1,9,16,0.0,0.0
2833,SK_Coal,2050,1,17,24,0.0,0.0
2834,SK_Coal,2050,2,1,8,-0.0,-0.0
2835,SK_Coal,2050,2,9,16,0.0,0.0
2836,SK_Coal,2050,2,17,24,0.0,0.0
2837,SK_Coal,2050,3,1,8,-0.0,-0.0
2838,SK_Coal,2050,3,9,16,0.0,0.0
2839,SK_Coal,2050,3,17,24,0.0,0.0
2840,SK_Coal,2050,4,1,8,-0.0,-0.0
2841,SK_Coal,2050,4,9,16,0.0,0.0
2842,SK_Coal,2050,4,17,24,0.0,0.0
2843,SK_Coal,2050,5,1,8,-0.0,-0.0
2844,SK_Coal,2050,5,9,16,0.0,0.0
2845,SK_Coal,2050,5,17,24,0.0,0.0
2846,SK_Coal,2050,6,1,8,-0.0,-0.0
2847,SK_Coal,2050,6,9,16,0.0,0.0
2848,SK_Coal,2050,6,17,24,0.0,0.0
2849,SK_Coal,2050,7,1,8,-0.0,-0.0
2850,SK_Coal,2050,7,9,16,0.0,0.0
2851,SK_Coal,2050,7,17,24,0.0,0.0
2852,SK_Coal,2050,8,1,8,-0.0,-0.0
2853,SK_Coal,2050,8,9,16,0.0,0.0
2854,SK_Coal,2050,8,17,24,0.0,0.0
2855,SK_Coal,2050,9,1,8,-0.0,-0.0
2856,SK_Coal,2050,9,9,16,0.0,0.0
2857,SK_Coal,2050,9,17,24,0.0,0.0
2858,SK_Coal,2050,10,1,8,-0.0,-0.0
2859,SK_Coal,2050,10,9,16,0.0,0.0
2860,SK_Coal,2050,10,17,24,0.0,-0.0
2861,SK_Gas,2050,1,1,8,-0.0,-0.0
2862,SK_Gas,2050,1,9,16,0.0,0.0
2863,SK_Gas,2050,1,17,24,0.0,0.0
2864,SK_Gas,2050,2,1,8,-0.0,-0.0
2865,SK_Gas,2050,2,9,16,0.0,0.0
2866,SK_Gas,2050,2,17,24,0.0,0.0
2867,SK_Gas,2050,3,1,8,-0.0,-0.0
2868,SK_Gas,2050,3,9,16,0.0,0.0
