year,rep_period,num_timesteps,resolution
2050,1,24,4
2050,2,24,4
2050,3,24,4
2050,4,24,4
2050,5,24,4
2050,6,24,4
2050,7,24,4
2050,8,24,4
2050,9,24,4
2050,10,24,4
