asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
LV_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
EE_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
FI_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
HR_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
GR_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
BG_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
RO_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
CY_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
OBZLL_H_Demand,0.0,0.0,>=,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,consumer,,,,
NL_electrolyzer,16004.56621,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
BE_electrolyzer,11118.72146,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
DE_electrolyzer,68344.74886,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
FR_electrolyzer,6803.652968,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
DK_electrolyzer,2305.936073,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
UK_electrolyzer,35589.07422,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
IE_electrolyzer,2705.479452,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
CH_electrolyzer,3820.526568,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
AT_electrolyzer,5730.593607,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
LU_electrolyzer,513.6986301,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
CZ_electrolyzer,4703.196347,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
PL_electrolyzer,14942.92237,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
SE_electrolyzer,8664.383562,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
NO_electrolyzer,9032.895165,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
ES_electrolyzer,20970.31963,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
PT_electrolyzer,3515.981735,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
IT_electrolyzer,16666.66667,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
MT_electrolyzer,68.49315068,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
SI_electrolyzer,650.6849315,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
HU_electrolyzer,4212.328767,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
SK_electrolyzer,2716.894977,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
LT_electrolyzer,2066.210046,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
LV_electrolyzer,308.2191781,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
EE_electrolyzer,194.0639269,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
FI_electrolyzer,5410.958904,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
HR_electrolyzer,924.6575342,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
GR_electrolyzer,6575.342466,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
BG_electrolyzer,1518.26484,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
RO_electrolyzer,4897.260274,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
CY_electrolyzer,285.3881279,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
OBZLL_electrolyzer,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,conversion,,,,
NL_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
BE_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
DE_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
FR_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
DK_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
UK_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
IE_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
CH_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
AT_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
LU_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
CZ_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
PL_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
SE_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
NO_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
ES_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
PT_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
IT_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
MT_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
SI_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
HU_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
SK_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
LT_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
LV_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
EE_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
FI_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
HR_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
GR_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
BG_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
RO_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
CY_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
OBZLL_E_Balance,0.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,hub,,,,
NL_E_ENS,33775.8785,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
NL_Wind_Onshore,20000.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
NL_Wind_Offshore,49653.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
NL_Solar,99984.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
NL_Gas,15250.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
NL_OCGT,0.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
BE_E_ENS,23582.92406,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
BE_Wind_Onshore,10000.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
BE_Wind_Offshore,10960.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
BE_Solar,55000.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
BE_Hydro,165.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
BE_Gas,8868.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
BE_OCGT,244.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
DE_E_ENS,119083.5828,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
DE_Wind_Onshore,191500.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
DE_Wind_Offshore,70585.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
DE_Solar,456389.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
DE_Hydro,4753.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
DE_Coal,0.0,0.0,,0.0,1.0,0,,false,false,none,false,0.5,0.5,0.25,true,false,1.0,producer,true,true,basic,
DE_Gas,33582.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
DE_OCGT,0.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
FR_E_ENS,92160.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
FR_Wind_Onshore,80000.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
FR_Wind_Offshore,43570.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
FR_Solar,193594.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
FR_Hydro,23447.0,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
FR_Nuclear,50139.0,0.0,,0.0,1.0,0,,false,false,none,false,0.3,0.3,0.25,true,false,1.0,producer,true,true,basic,
FR_Gas,10839.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
FR_OCGT,0.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
DK_E_ENS,5894.6533,0.0,,0.0,1.0,0,,false,false,none,false,,,,,false,1.0,producer,,,,
DK_Wind_Onshore,11393.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
DK_Wind_Offshore,44191.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
DK_Solar,24446.0,0.0,,0.0,1.0,0,,true,false,simple,false,,,,,false,1.0,producer,,,,
DK_Gas,10.0,0.0,,0.0,1.0,0,,false,false,none,false,0.1,0.1,0.25,true,false,1.0,producer,true,true,basic,
