from_asset,partition,rep_period,specification,to_asset,year
NO_E_Balance,4,1,uniform,NO_Pump_Hydro_Open,2050
NO_Pump_Hydro_Open,4,1,uniform,NO_E_Balance,2050
NO_Hydro_Reservoir,4,1,uniform,NO_E_Balance,2050
ES_E_Balance,4,1,uniform,ES_E_Demand,2050
ES_E_ENS,4,1,uniform,ES_E_Demand,2050
ES_Wind_Onshore,4,1,uniform,ES_E_Balance,2050
ES_Wind_Offshore,4,1,uniform,ES_E_Balance,2050
ES_Solar,4,1,uniform,ES_E_Balance,2050
ES_Hydro,4,1,uniform,ES_E_Balance,2050
ES_Hydro_Reservoir,4,1,uniform,ES_E_Balance,2050
ES_Nuclear,4,1,uniform,ES_E_Balance,2050
ES_E_Balance,4,1,uniform,ES_Battery,2050
ES_Battery,4,1,uniform,ES_E_Balance,2050
ES_E_Balance,4,1,uniform,ES_Pump_Hydro_Closed,2050
ES_Pump_Hydro_Closed,4,1,uniform,ES_E_Balance,2050
ES_E_Balance,4,1,uniform,ES_Pump_Hydro_Open,2050
ES_Pump_Hydro_Open,4,1,uniform,ES_E_Balance,2050
ES_Gas,4,1,uniform,ES_E_Balance,2050
PT_E_Balance,4,1,uniform,PT_E_Demand,2050
PT_E_ENS,4,1,uniform,PT_E_Demand,2050
PT_Wind_Onshore,4,1,uniform,PT_E_Balance,2050
PT_Wind_Offshore,4,1,uniform,PT_E_Balance,2050
PT_Solar,4,1,uniform,PT_E_Balance,2050
PT_Hydro,4,1,uniform,PT_E_Balance,2050
PT_Hydro_Reservoir,4,1,uniform,PT_E_Balance,2050
PT_E_Balance,4,1,uniform,PT_Pump_Hydro_Open,2050
PT_Pump_Hydro_Open,4,1,uniform,PT_E_Balance,2050
PT_Gas,4,1,uniform,PT_E_Balance,2050
IT_E_Balance,4,1,uniform,IT_E_Demand,2050
IT_E_ENS,4,1,uniform,IT_E_Demand,2050
IT_Wind_Onshore,4,1,uniform,IT_E_Balance,2050
IT_Wind_Offshore,4,1,uniform,IT_E_Balance,2050
IT_Solar,4,1,uniform,IT_E_Balance,2050
IT_Hydro,4,1,uniform,IT_E_Balance,2050
IT_Hydro_Reservoir,4,1,uniform,IT_E_Balance,2050
IT_E_Balance,4,1,uniform,IT_Battery,2050
IT_Battery,4,1,uniform,IT_E_Balance,2050
IT_E_Balance,4,1,uniform,IT_Pump_Hydro_Closed,2050
IT_Pump_Hydro_Closed,4,1,uniform,IT_E_Balance,2050
IT_E_Balance,4,1,uniform,IT_Pump_Hydro_Open,2050
IT_Pump_Hydro_Open,4,1,uniform,IT_E_Balance,2050
IT_Gas,4,1,uniform,IT_E_Balance,2050
IT_OCGT,4,1,uniform,IT_E_Balance,2050
MT_E_Balance,4,1,uniform,MT_E_Demand,2050
MT_E_ENS,4,1,uniform,MT_E_Demand,2050
MT_Solar,4,1,uniform,MT_E_Balance,2050
MT_Gas,4,1,uniform,MT_E_Balance,2050
SI_E_Balance,4,1,uniform,SI_E_Demand,2050
SI_E_ENS,4,1,uniform,SI_E_Demand,2050
SI_Wind_Onshore,4,1,uniform,SI_E_Balance,2050
SI_Wind_Offshore,4,1,uniform,SI_E_Balance,2050
SI_Solar,4,1,uniform,SI_E_Balance,2050
SI_Hydro,4,1,uniform,SI_E_Balance,2050
SI_Nuclear,4,1,uniform,SI_E_Balance,2050
SI_E_Balance,4,1,uniform,SI_Battery,2050
SI_Battery,4,1,uniform,SI_E_Balance,2050
SI_E_Balance,4,1,uniform,SI_Pump_Hydro_Closed,2050
SI_Pump_Hydro_Closed,4,1,uniform,SI_E_Balance,2050
SI_Coal,4,1,uniform,SI_E_Balance,2050
SI_Gas,4,1,uniform,SI_E_Balance,2050
SI_OCGT,4,1,uniform,SI_E_Balance,2050
HU_E_Balance,4,1,uniform,HU_E_Demand,2050
HU_E_ENS,4,1,uniform,HU_E_Demand,2050
HU_Wind_Onshore,4,1,uniform,HU_E_Balance,2050
HU_Solar,4,1,uniform,HU_E_Balance,2050
HU_Hydro,4,1,uniform,HU_E_Balance,2050
HU_Nuclear,4,1,uniform,HU_E_Balance,2050
HU_E_Balance,4,1,uniform,HU_Battery,2050
HU_Battery,4,1,uniform,HU_E_Balance,2050
HU_Gas,4,1,uniform,HU_E_Balance,2050
HU_OCGT,4,1,uniform,HU_E_Balance,2050
SK_E_Balance,4,1,uniform,SK_E_Demand,2050
SK_E_ENS,4,1,uniform,SK_E_Demand,2050
SK_Wind_Onshore,4,1,uniform,SK_E_Balance,2050
SK_Solar,4,1,uniform,SK_E_Balance,2050
SK_Hydro,4,1,uniform,SK_E_Balance,2050
SK_Hydro_Reservoir,4,1,uniform,SK_E_Balance,2050
SK_Nuclear,4,1,uniform,SK_E_Balance,2050
SK_E_Balance,4,1,uniform,SK_Pump_Hydro_Closed,2050
SK_Pump_Hydro_Closed,4,1,uniform,SK_E_Balance,2050
SK_E_Balance,4,1,uniform,SK_Pump_Hydro_Open,2050
SK_Pump_Hydro_Open,4,1,uniform,SK_E_Balance,2050
SK_Coal,4,1,uniform,SK_E_Balance,2050
SK_Gas,4,1,uniform,SK_E_Balance,2050
LT_E_Balance,4,1,uniform,LT_E_Demand,2050
LT_E_ENS,4,1,uniform,LT_E_Demand,2050
LT_Wind_Onshore,4,1,uniform,LT_E_Balance,2050
LT_Wind_Offshore,4,1,uniform,LT_E_Balance,2050
LT_Solar,4,1,uniform,LT_E_Balance,2050
LT_Hydro,4,1,uniform,LT_E_Balance,2050
LT_E_Balance,4,1,uniform,LT_Battery,2050
LT_Battery,4,1,uniform,LT_E_Balance,2050
LT_E_Balance,4,1,uniform,LT_Pump_Hydro_Closed,2050
LT_Pump_Hydro_Closed,4,1,uniform,LT_E_Balance,2050
LT_Gas,4,1,uniform,LT_E_Balance,2050
LV_E_Balance,4,1,uniform,LV_E_Demand,2050
LV_E_ENS,4,1,uniform,LV_E_Demand,2050
LV_Wind_Onshore,4,1,uniform,LV_E_Balance,2050
LV_Wind_Offshore,4,1,uniform,LV_E_Balance,2050
LV_Solar,4,1,uniform,LV_E_Balance,2050
LV_Hydro,4,1,uniform,LV_E_Balance,2050
LV_Gas,4,1,uniform,LV_E_Balance,2050
EE_E_Balance,4,1,uniform,EE_E_Demand,2050
EE_E_ENS,4,1,uniform,EE_E_Demand,2050
EE_Wind_Onshore,4,1,uniform,EE_E_Balance,2050
EE_Wind_Offshore,4,1,uniform,EE_E_Balance,2050
