asset,partition,rep_period,specification,year
BE_Gas,4,1,uniform,2050
BE_OCGT,4,1,uniform,2050
DE_E_ENS,4,1,uniform,2050
DE_Wind_Onshore,4,1,uniform,2050
DE_Wind_Offshore,4,1,uniform,2050
DE_Solar,4,1,uniform,2050
DE_Hydro,4,1,uniform,2050
DE_Coal,4,1,uniform,2050
DE_Gas,4,1,uniform,2050
DE_OCGT,4,1,uniform,2050
FR_E_ENS,4,1,uniform,2050
FR_Wind_Onshore,4,1,uniform,2050
FR_Wind_Offshore,4,1,uniform,2050
FR_Solar,4,1,uniform,2050
FR_Hydro,4,1,uniform,2050
FR_Nuclear,4,1,uniform,2050
FR_Gas,4,1,uniform,2050
FR_OCGT,4,1,uniform,2050
DK_E_ENS,4,1,uniform,2050
DK_Wind_Onshore,4,1,uniform,2050
DK_Wind_Offshore,4,1,uniform,2050
DK_Solar,4,1,uniform,2050
DK_Gas,4,1,uniform,2050
DK_OCGT,4,1,uniform,2050
UK_E_ENS,4,1,uniform,2050
UK_Wind_Onshore,4,1,uniform,2050
UK_Wind_Offshore,4,1,uniform,2050
UK_Solar,4,1,uniform,2050
UK_Hydro,4,1,uniform,2050
UK_Nuclear,4,1,uniform,2050
UK_Gas,4,1,uniform,2050
UK_OCGT,4,1,uniform,2050
IE_E_ENS,4,1,uniform,2050
IE_Wind_Onshore,4,1,uniform,2050
IE_Wind_Offshore,4,1,uniform,2050
IE_Solar,4,1,uniform,2050
IE_Hydro,4,1,uniform,2050
IE_Gas,4,1,uniform,2050
IE_OCGT,4,1,uniform,2050
CH_E_ENS,4,1,uniform,2050
CH_Wind_Onshore,4,1,uniform,2050
CH_Solar,4,1,uniform,2050
CH_Hydro,4,1,uniform,2050
CH_Nuclear,4,1,uniform,2050
AT_E_ENS,4,1,uniform,2050
AT_Wind_Onshore,4,1,uniform,2050
AT_Solar,4,1,uniform,2050
AT_Hydro,4,1,uniform,2050
AT_Gas,4,1,uniform,2050
LU_E_ENS,4,1,uniform,2050
LU_Wind_Onshore,4,1,uniform,2050
LU_Solar,4,1,uniform,2050
LU_Hydro,4,1,uniform,2050
CZ_E_ENS,4,1,uniform,2050
CZ_Wind_Onshore,4,1,uniform,2050
CZ_Solar,4,1,uniform,2050
CZ_Hydro,4,1,uniform,2050
CZ_Nuclear,4,1,uniform,2050
CZ_Coal,4,1,uniform,2050
CZ_Gas,4,1,uniform,2050
PL_E_ENS,4,1,uniform,2050
PL_Wind_Onshore,4,1,uniform,2050
PL_Wind_Offshore,4,1,uniform,2050
PL_Solar,4,1,uniform,2050
PL_Hydro,4,1,uniform,2050
PL_Coal,4,1,uniform,2050
PL_Gas,4,1,uniform,2050
SE_E_ENS,4,1,uniform,2050
SE_Wind_Onshore,4,1,uniform,2050
SE_Wind_Offshore,4,1,uniform,2050
SE_Solar,4,1,uniform,2050
SE_Nuclear,4,1,uniform,2050
SE_Gas,4,1,uniform,2050
SE_OCGT,4,1,uniform,2050
NO_E_ENS,4,1,uniform,2050
NO_Wind_Onshore,4,1,uniform,2050
NO_Wind_Offshore,4,1,uniform,2050
NO_Solar,4,1,uniform,2050
ES_E_ENS,4,1,uniform,2050
ES_Wind_Onshore,4,1,uniform,2050
ES_Wind_Offshore,4,1,uniform,2050
ES_Solar,4,1,uniform,2050
ES_Hydro,4,1,uniform,2050
ES_Nuclear,4,1,uniform,2050
ES_Gas,4,1,uniform,2050
PT_E_ENS,4,1,uniform,2050
PT_Wind_Onshore,4,1,uniform,2050
PT_Wind_Offshore,4,1,uniform,2050
