id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
99,AT_Pump_Hydro_Open,2050,5,13,18,-0.0
100,AT_Pump_Hydro_Open,2050,5,19,24,0.0
101,AT_Pump_Hydro_Open,2050,6,1,6,0.0
102,AT_Pump_Hydro_Open,2050,6,7,12,0.0
103,AT_Pump_Hydro_Open,2050,6,13,18,0.0
104,AT_Pump_Hydro_Open,2050,6,19,24,0.0
105,AT_Pump_Hydro_Open,2050,7,1,6,0.0
106,AT_Pump_Hydro_Open,2050,7,7,12,0.0
107,AT_Pump_Hydro_Open,2050,7,13,18,0.0
108,AT_Pump_Hydro_Open,2050,7,19,24,0.0
109,AT_Pump_Hydro_Open,2050,8,1,6,0.0
110,AT_Pump_Hydro_Open,2050,8,7,12,0.0
111,AT_Pump_Hydro_Open,2050,8,13,18,-0.0
112,AT_Pump_Hydro_Open,2050,8,19,24,0.0
113,AT_Pump_Hydro_Open,2050,9,1,6,0.0
114,AT_Pump_Hydro_Open,2050,9,7,12,-5.099114338762262
115,AT_Pump_Hydro_Open,2050,9,13,18,-5.099114338762262
116,AT_Pump_Hydro_Open,2050,9,19,24,0.0
117,AT_Pump_Hydro_Open,2050,10,1,6,0.0
118,AT_Pump_Hydro_Open,2050,10,7,12,0.0
119,AT_Pump_Hydro_Open,2050,10,13,18,0.0
120,AT_Pump_Hydro_Open,2050,10,19,24,0.0
121,BE_Battery,2050,1,1,6,0.0
122,BE_Battery,2050,1,7,12,0.0
123,BE_Battery,2050,1,13,18,-0.0
124,BE_Battery,2050,1,19,24,0.0
125,BE_Battery,2050,2,1,6,-0.0
126,BE_Battery,2050,2,7,12,0.0
127,BE_Battery,2050,2,13,18,-0.0
128,BE_Battery,2050,2,19,24,0.0
129,BE_Battery,2050,3,1,6,-0.0
130,BE_Battery,2050,3,7,12,-0.0
131,BE_Battery,2050,3,13,18,-0.0
132,BE_Battery,2050,3,19,24,-0.0
133,BE_Battery,2050,4,1,6,-0.0
134,BE_Battery,2050,4,7,12,-0.0
135,BE_Battery,2050,4,13,18,-0.0
136,BE_Battery,2050,4,19,24,-0.0
137,BE_Battery,2050,5,1,6,-0.0
138,BE_Battery,2050,5,7,12,-0.0
139,BE_Battery,2050,5,13,18,-0.0
140,BE_Battery,2050,5,19,24,-0.0
141,BE_Battery,2050,6,1,6,0.0
142,BE_Battery,2050,6,7,12,0.0
143,BE_Battery,2050,6,13,18,-0.0
144,BE_Battery,2050,6,19,24,0.0
145,BE_Battery,2050,7,1,6,0.0
146,BE_Battery,2050,7,7,12,0.0
147,BE_Battery,2050,7,13,18,0.0
148,BE_Battery,2050,7,19,24,0.0
149,BE_Battery,2050,8,1,6,-0.0
150,BE_Battery,2050,8,7,12,-0.0
151,BE_Battery,2050,8,13,18,-0.0
152,BE_Battery,2050,8,19,24,-0.0
153,BE_Battery,2050,9,1,6,-0.0
154,BE_Battery,2050,9,7,12,-0.0
155,BE_Battery,2050,9,13,18,-0.0
156,BE_Battery,2050,9,19,24,0.0
157,BE_Battery,2050,10,1,6,0.0
158,BE_Battery,2050,10,7,12,0.0
159,BE_Battery,2050,10,13,18,0.0
160,BE_Battery,2050,10,19,24,0.0
161,BG_Pump_Hydro_Closed,2050,1,1,6,0.0
162,BG_Pump_Hydro_Closed,2050,1,7,12,-47.47640625000002
163,BG_Pump_Hydro_Closed,2050,1,13,18,-25.534406250000018
164,BG_Pump_Hydro_Closed,2050,1,19,24,0.0
165,BG_Pump_Hydro_Closed,2050,2,1,6,0.0
166,BG_Pump_Hydro_Closed,2050,2,7,12,-0.0
167,BG_Pump_Hydro_Closed,2050,2,13,18,0.0
168,BG_Pump_Hydro_Closed,2050,2,19,24,0.0
169,BG_Pump_Hydro_Closed,2050,3,1,6,0.0
170,BG_Pump_Hydro_Closed,2050,3,7,12,0.0
171,BG_Pump_Hydro_Closed,2050,3,13,18,0.0
172,BG_Pump_Hydro_Closed,2050,3,19,24,0.0
173,BG_Pump_Hydro_Closed,2050,4,1,6,0.0
174,BG_Pump_Hydro_Closed,2050,4,7,12,0.0
175,BG_Pump_Hydro_Closed,2050,4,13,18,0.0
176,BG_Pump_Hydro_Closed,2050,4,19,24,0.0
177,BG_Pump_Hydro_Closed,2050,5,1,6,0.0
178,BG_Pump_Hydro_Closed,2050,5,7,12,0.0
179,BG_Pump_Hydro_Closed,2050,5,13,18,0.0
180,BG_Pump_Hydro_Closed,2050,5,19,24,0.0
181,BG_Pump_Hydro_Closed,2050,6,1,6,0.0
182,BG_Pump_Hydro_Closed,2050,6,7,12,-16.124062500000008
183,BG_Pump_Hydro_Closed,2050,6,13,18,-16.124062500000008
184,BG_Pump_Hydro_Closed,2050,6,19,24,0.0
185,BG_Pump_Hydro_Closed,2050,7,1,6,0.0
186,BG_Pump_Hydro_Closed,2050,7,7,12,0.0
187,BG_Pump_Hydro_Closed,2050,7,13,18,0.0
188,BG_Pump_Hydro_Closed,2050,7,19,24,0.0
189,BG_Pump_Hydro_Closed,2050,8,1,6,0.0
190,BG_Pump_Hydro_Closed,2050,8,7,12,-27.769218750000018
191,BG_Pump_Hydro_Closed,2050,8,13,18,-27.769218750000018
192,BG_Pump_Hydro_Closed,2050,8,19,24,0.0
193,BG_Pump_Hydro_Closed,2050,9,1,6,0.0
194,BG_Pump_Hydro_Closed,2050,9,7,12,-38.518593749999994
195,BG_Pump_Hydro_Closed,2050,9,13,18,-38.518593749999994
196,BG_Pump_Hydro_Closed,2050,9,19,24,0.0
197,BG_Pump_Hydro_Closed,2050,10,1,6,0.0
198,BG_Pump_Hydro_Closed,2050,10,7,12,0.0
199,BG_Pump_Hydro_Closed,2050,10,13,18,0.0
200,BG_Pump_Hydro_Closed,2050,10,19,24,0.0
201,BG_Pump_Hydro_Open,2050,1,1,6,0.0
202,BG_Pump_Hydro_Open,2050,1,7,12,-45.629565265058716
203,BG_Pump_Hydro_Open,2050,1,13,18,-23.687565265058716
204,BG_Pump_Hydro_Open,2050,1,19,24,0.0
205,BG_Pump_Hydro_Open,2050,2,1,6,-0.10771889510511912
206,BG_Pump_Hydro_Open,2050,2,7,12,-0.10771889510511912
207,BG_Pump_Hydro_Open,2050,2,13,18,-0.10771889510511912
208,BG_Pump_Hydro_Open,2050,2,19,24,0.0
209,BG_Pump_Hydro_Open,2050,3,1,6,0.0
210,BG_Pump_Hydro_Open,2050,3,7,12,0.0
211,BG_Pump_Hydro_Open,2050,3,13,18,0.0
212,BG_Pump_Hydro_Open,2050,3,19,24,0.0
213,BG_Pump_Hydro_Open,2050,4,1,6,0.0
214,BG_Pump_Hydro_Open,2050,4,7,12,0.0
215,BG_Pump_Hydro_Open,2050,4,13,18,0.0
216,BG_Pump_Hydro_Open,2050,4,19,24,0.0
217,BG_Pump_Hydro_Open,2050,5,1,6,0.0
218,BG_Pump_Hydro_Open,2050,5,7,12,-2.991087510479815
219,BG_Pump_Hydro_Open,2050,5,13,18,-2.991087510479815
220,BG_Pump_Hydro_Open,2050,5,19,24,0.0
221,BG_Pump_Hydro_Open,2050,6,1,6,0.0
222,BG_Pump_Hydro_Open,2050,6,7,12,-3.516370840319873
223,BG_Pump_Hydro_Open,2050,6,13,18,-3.516370840319873
224,BG_Pump_Hydro_Open,2050,6,19,24,0.0
225,BG_Pump_Hydro_Open,2050,7,1,6,0.0
226,BG_Pump_Hydro_Open,2050,7,7,12,0.0
227,BG_Pump_Hydro_Open,2050,7,13,18,-0.0
228,BG_Pump_Hydro_Open,2050,7,19,24,0.0
229,BG_Pump_Hydro_Open,2050,8,1,6,0.0
230,BG_Pump_Hydro_Open,2050,8,7,12,-6.055972002773115
231,BG_Pump_Hydro_Open,2050,8,13,18,-6.055972002773115
232,BG_Pump_Hydro_Open,2050,8,19,24,0.0
233,BG_Pump_Hydro_Open,2050,9,1,6,0.0
234,BG_Pump_Hydro_Open,2050,9,7,12,-38.51859375000003
235,BG_Pump_Hydro_Open,2050,9,13,18,-38.51859375000003
236,BG_Pump_Hydro_Open,2050,9,19,24,0.0
237,BG_Pump_Hydro_Open,2050,10,1,6,0.0
238,BG_Pump_Hydro_Open,2050,10,7,12,0.0
239,BG_Pump_Hydro_Open,2050,10,13,18,0.0
240,BG_Pump_Hydro_Open,2050,10,19,24,0.0
241,CH_Battery,2050,1,1,6,0.0
242,CH_Battery,2050,1,7,12,0.0
243,CH_Battery,2050,1,13,18,0.0
244,CH_Battery,2050,1,19,24,0.0
245,CH_Battery,2050,2,1,6,0.0
246,CH_Battery,2050,2,7,12,0.0
247,CH_Battery,2050,2,13,18,0.0
248,CH_Battery,2050,2,19,24,0.0
249,CH_Battery,2050,3,1,6,0.0
250,CH_Battery,2050,3,7,12,0.0
251,CH_Battery,2050,3,13,18,0.0
252,CH_Battery,2050,3,19,24,0.0
253,CH_Battery,2050,4,1,6,0.0
254,CH_Battery,2050,4,7,12,0.0
255,CH_Battery,2050,4,13,18,0.0
256,CH_Battery,2050,4,19,24,0.0
257,CH_Battery,2050,5,1,6,0.0
258,CH_Battery,2050,5,7,12,0.0
259,CH_Battery,2050,5,13,18,0.0
260,CH_Battery,2050,5,19,24,0.0
261,CH_Battery,2050,6,1,6,0.0
262,CH_Battery,2050,6,7,12,0.0
263,CH_Battery,2050,6,13,18,0.0
264,CH_Battery,2050,6,19,24,0.0
265,CH_Battery,2050,7,1,6,0.0
266,CH_Battery,2050,7,7,12,0.0
267,CH_Battery,2050,7,13,18,0.0
268,CH_Battery,2050,7,19,24,0.0
269,CH_Battery,2050,8,1,6,0.0
270,CH_Battery,2050,8,7,12,0.0
271,CH_Battery,2050,8,13,18,0.0
272,CH_Battery,2050,8,19,24,0.0
273,CH_Battery,2050,9,1,6,0.0
274,CH_Battery,2050,9,7,12,0.0
275,CH_Battery,2050,9,13,18,0.0
276,CH_Battery,2050,9,19,24,0.0
277,CH_Battery,2050,10,1,6,0.0
