id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
69,BE_OCGT,2050,8,1,6,0.0
70,BE_OCGT,2050,8,7,12,0.0
71,BE_OCGT,2050,8,13,18,0.0
72,BE_OCGT,2050,8,19,24,0.0
73,BE_OCGT,2050,9,1,6,0.0
74,BE_OCGT,2050,9,7,12,0.0
75,BE_OCGT,2050,9,13,18,0.0
76,BE_OCGT,2050,9,19,24,0.0
77,BE_OCGT,2050,10,1,6,0.0
78,BE_OCGT,2050,10,7,12,0.0
79,BE_OCGT,2050,10,13,18,0.0
80,BE_OCGT,2050,10,19,24,0.0
81,BG_Coal,2050,1,1,6,0.0
82,BG_Coal,2050,1,7,12,0.0
83,BG_Coal,2050,1,13,18,0.0
84,BG_Coal,2050,1,19,24,0.0
85,BG_Coal,2050,2,1,6,0.0
86,BG_Coal,2050,2,7,12,0.0
87,BG_Coal,2050,2,13,18,0.0
88,BG_Coal,2050,2,19,24,0.0
89,BG_Coal,2050,3,1,6,0.0
90,BG_Coal,2050,3,7,12,0.0
91,BG_Coal,2050,3,13,18,0.0
92,BG_Coal,2050,3,19,24,0.0
93,BG_Coal,2050,4,1,6,0.0
94,BG_Coal,2050,4,7,12,0.0
95,BG_Coal,2050,4,13,18,0.0
96,BG_Coal,2050,4,19,24,0.0
97,BG_Coal,2050,5,1,6,0.0
98,BG_Coal,2050,5,7,12,0.0
99,BG_Coal,2050,5,13,18,0.0
100,BG_Coal,2050,5,19,24,0.0
101,BG_Coal,2050,6,1,6,0.0
102,BG_Coal,2050,6,7,12,0.0
103,BG_Coal,2050,6,13,18,0.0
104,BG_Coal,2050,6,19,24,0.0
105,BG_Coal,2050,7,1,6,0.0
106,BG_Coal,2050,7,7,12,0.0
107,BG_Coal,2050,7,13,18,0.0
108,BG_Coal,2050,7,19,24,0.0
109,BG_Coal,2050,8,1,6,0.0
110,BG_Coal,2050,8,7,12,0.0
111,BG_Coal,2050,8,13,18,0.0
112,BG_Coal,2050,8,19,24,0.0
113,BG_Coal,2050,9,1,6,0.0
114,BG_Coal,2050,9,7,12,0.0
115,BG_Coal,2050,9,13,18,0.0
116,BG_Coal,2050,9,19,24,0.0
117,BG_Coal,2050,10,1,6,0.0
118,BG_Coal,2050,10,7,12,0.0
119,BG_Coal,2050,10,13,18,0.0
120,BG_Coal,2050,10,19,24,0.0
121,BG_Gas,2050,1,1,6,0.0
122,BG_Gas,2050,1,7,12,0.0
123,BG_Gas,2050,1,13,18,0.0
124,BG_Gas,2050,1,19,24,0.0
125,BG_Gas,2050,2,1,6,0.0
126,BG_Gas,2050,2,7,12,0.0
127,BG_Gas,2050,2,13,18,0.0
128,BG_Gas,2050,2,19,24,0.0
129,BG_Gas,2050,3,1,6,0.0
130,BG_Gas,2050,3,7,12,0.0
131,BG_Gas,2050,3,13,18,0.0
132,BG_Gas,2050,3,19,24,0.0
133,BG_Gas,2050,4,1,6,0.0
134,BG_Gas,2050,4,7,12,0.0
135,BG_Gas,2050,4,13,18,0.0
136,BG_Gas,2050,4,19,24,0.0
137,BG_Gas,2050,5,1,6,0.0
138,BG_Gas,2050,5,7,12,0.0
139,BG_Gas,2050,5,13,18,0.0
140,BG_Gas,2050,5,19,24,0.0
141,BG_Gas,2050,6,1,6,0.0
142,BG_Gas,2050,6,7,12,0.0
143,BG_Gas,2050,6,13,18,0.0
144,BG_Gas,2050,6,19,24,0.0
145,BG_Gas,2050,7,1,6,0.0
146,BG_Gas,2050,7,7,12,0.0
147,BG_Gas,2050,7,13,18,0.0
148,BG_Gas,2050,7,19,24,0.0
149,BG_Gas,2050,8,1,6,0.0
150,BG_Gas,2050,8,7,12,0.0
151,BG_Gas,2050,8,13,18,0.0
152,BG_Gas,2050,8,19,24,0.0
153,BG_Gas,2050,9,1,6,0.0
154,BG_Gas,2050,9,7,12,0.0
155,BG_Gas,2050,9,13,18,0.0
156,BG_Gas,2050,9,19,24,0.0
157,BG_Gas,2050,10,1,6,0.0
158,BG_Gas,2050,10,7,12,0.0
159,BG_Gas,2050,10,13,18,0.0
160,BG_Gas,2050,10,19,24,0.0
161,BG_Nuclear,2050,1,1,6,0.0
162,BG_Nuclear,2050,1,7,12,0.0
163,BG_Nuclear,2050,1,13,18,0.0
164,BG_Nuclear,2050,1,19,24,0.0
165,BG_Nuclear,2050,2,1,6,0.0
166,BG_Nuclear,2050,2,7,12,0.0
167,BG_Nuclear,2050,2,13,18,0.0
168,BG_Nuclear,2050,2,19,24,0.0
169,BG_Nuclear,2050,3,1,6,0.0
170,BG_Nuclear,2050,3,7,12,0.0
171,BG_Nuclear,2050,3,13,18,0.0
172,BG_Nuclear,2050,3,19,24,0.0
173,BG_Nuclear,2050,4,1,6,0.0
174,BG_Nuclear,2050,4,7,12,0.0
175,BG_Nuclear,2050,4,13,18,0.0
176,BG_Nuclear,2050,4,19,24,0.0
177,BG_Nuclear,2050,5,1,6,0.0
178,BG_Nuclear,2050,5,7,12,0.0
179,BG_Nuclear,2050,5,13,18,0.0
180,BG_Nuclear,2050,5,19,24,0.0
181,BG_Nuclear,2050,6,1,6,0.0
182,BG_Nuclear,2050,6,7,12,0.0
183,BG_Nuclear,2050,6,13,18,0.0
184,BG_Nuclear,2050,6,19,24,0.0
185,BG_Nuclear,2050,7,1,6,0.0
186,BG_Nuclear,2050,7,7,12,0.0
187,BG_Nuclear,2050,7,13,18,0.0
188,BG_Nuclear,2050,7,19,24,0.0
189,BG_Nuclear,2050,8,1,6,0.0
190,BG_Nuclear,2050,8,7,12,0.0
