asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
NL_Solar,2050,false,0.0,0.0,2050
NL_Wind_Onshore,2050,false,0.0,0.0,2050
NL_Wind_Offshore,2050,false,0.0,0.0,2050
NL_Coal,2050,false,0.0,0.0,2050
NL_Nuclear,2050,false,0.0,0.0,2050
NL_CCGT,2050,false,0.0,0.0,2050
NL_OCGT,2050,false,0.0,0.0,2050
NL_Battery,2050,false,0.0,0.0,2050
NL_Wind_Onshore2,2050,false,0.0,0.0,2050
NL_Wind_Offshore2,2050,false,0.0,0.0,2050
NL_Coal2,2050,false,0.0,0.0,2050
NL_Nuclear2,2050,false,0.0,0.0,2050
BE_Solar,2050,false,0.0,0.0,2050
BE_Wind_Onshore,2050,false,0.0,0.0,2050
BE_Wind_Offshore,2050,false,0.0,0.0,2050
BE_Coal,2050,false,0.0,0.0,2050
BE_Nuclear,2050,false,0.0,0.0,2050
BE_CCGT,2050,false,0.0,0.0,2050
BE_OCGT,2050,false,0.0,0.0,2050
BE_Battery,2050,false,0.0,0.0,2050
BE_Wind_Onshore2,2050,false,0.0,0.0,2050
BE_Wind_Offshore2,2050,false,0.0,0.0,2050
BE_Coal2,2050,false,0.0,0.0,2050
BE_Nuclear2,2050,false,0.0,0.0,2050
DE_Solar,2050,false,0.0,0.0,2050
DE_Wind_Onshore,2050,false,0.0,0.0,2050
DE_Wind_Offshore,2050,false,0.0,0.0,2050
DE_Coal,2050,false,0.0,0.0,2050
DE_Nuclear,2050,false,0.0,0.0,2050
DE_CCGT,2050,false,0.0,0.0,2050
DE_OCGT,2050,false,0.0,0.0,2050
DE_Battery,2050,false,0.0,0.0,2050
DE_Wind_Onshore2,2050,false,0.0,0.0,2050
DE_Wind_Offshore2,2050,false,0.0,0.0,2050
DE_Coal2,2050,false,0.0,0.0,2050
DE_Nuclear2,2050,false,0.0,0.0,2050
FR_Solar,2050,false,0.0,0.0,2050
FR_Wind_Onshore,2050,false,0.0,0.0,2050
FR_Wind_Offshore,2050,false,0.0,0.0,2050
FR_Coal,2050,false,0.0,0.0,2050
FR_Nuclear,2050,false,0.0,0.0,2050
FR_CCGT,2050,false,0.0,0.0,2050
FR_OCGT,2050,false,0.0,0.0,2050
FR_Battery,2050,false,0.0,0.0,2050
FR_Wind_Onshore2,2050,false,0.0,0.0,2050
FR_Wind_Offshore2,2050,false,0.0,0.0,2050
FR_Coal2,2050,false,0.0,0.0,2050
FR_Nuclear2,2050,false,0.0,0.0,2050
LU_Solar,2050,false,0.0,0.0,2050
LU_Wind_Onshore,2050,false,0.0,0.0,2050
LU_Wind_Offshore,2050,false,0.0,0.0,2050
LU_Coal,2050,false,0.0,0.0,2050
LU_Nuclear,2050,false,0.0,0.0,2050
LU_CCGT,2050,false,0.0,0.0,2050
LU_OCGT,2050,false,0.0,0.0,2050
LU_Battery,2050,false,0.0,0.0,2050
LU_Wind_Onshore2,2050,false,0.0,0.0,2050
LU_Wind_Offshore2,2050,false,0.0,0.0,2050
LU_Coal2,2050,false,0.0,0.0,2050
LU_Nuclear2,2050,false,0.0,0.0,2050
CH_Solar,2050,false,0.0,0.0,2050
CH_Wind_Onshore,2050,false,0.0,0.0,2050
CH_Wind_Offshore,2050,false,0.0,0.0,2050
CH_Coal,2050,false,0.0,0.0,2050
CH_Nuclear,2050,false,0.0,0.0,2050
CH_CCGT,2050,false,0.0,0.0,2050
CH_OCGT,2050,false,0.0,0.0,2050
CH_Battery,2050,false,0.0,0.0,2050
CH_Wind_Onshore2,2050,false,0.0,0.0,2050
CH_Wind_Offshore2,2050,false,0.0,0.0,2050
CH_Coal2,2050,false,0.0,0.0,2050
CH_Nuclear2,2050,false,0.0,0.0,2050
UK_Solar,2050,false,0.0,0.0,2050
UK_Wind_Onshore,2050,false,0.0,0.0,2050
UK_Wind_Offshore,2050,false,0.0,0.0,2050
UK_Coal,2050,false,0.0,0.0,2050
UK_Nuclear,2050,false,0.0,0.0,2050
UK_CCGT,2050,false,0.0,0.0,2050
UK_OCGT,2050,false,0.0,0.0,2050
UK_Battery,2050,false,0.0,0.0,2050
UK_Wind_Onshore2,2050,false,0.0,0.0,2050
UK_Wind_Offshore2,2050,false,0.0,0.0,2050
UK_Coal2,2050,false,0.0,0.0,2050
UK_Nuclear2,2050,false,0.0,0.0,2050
DK_Solar,2050,false,0.0,0.0,2050
DK_Wind_Onshore,2050,false,0.0,0.0,2050
DK_Wind_Offshore,2050,false,0.0,0.0,2050
DK_Coal,2050,false,0.0,0.0,2050
DK_Nuclear,2050,false,0.0,0.0,2050
DK_CCGT,2050,false,0.0,0.0,2050
DK_OCGT,2050,false,0.0,0.0,2050
DK_Battery,2050,false,0.0,0.0,2050
DK_Wind_Onshore2,2050,false,0.0,0.0,2050
DK_Wind_Offshore2,2050,false,0.0,0.0,2050
DK_Coal2,2050,false,0.0,0.0,2050
DK_Nuclear2,2050,false,0.0,0.0,2050
NO_Solar,2050,false,0.0,0.0,2050
NO_Wind_Onshore,2050,false,0.0,0.0,2050
NO_Wind_Offshore,2050,false,0.0,0.0,2050
NO_Coal,2050,false,0.0,0.0,2050
NO_Nuclear,2050,false,0.0,0.0,2050
NO_CCGT,2050,false,0.0,0.0,2050
NO_OCGT,2050,false,0.0,0.0,2050
NO_Battery,2050,false,0.0,0.0,2050
NO_Wind_Onshore2,2050,false,0.0,0.0,2050
NO_Wind_Offshore2,2050,false,0.0,0.0,2050
NO_Coal2,2050,false,0.0,0.0,2050
NO_Nuclear2,2050,false,0.0,0.0,2050
IE_Solar,2050,false,0.0,0.0,2050
IE_Wind_Onshore,2050,false,0.0,0.0,2050
IE_Wind_Offshore,2050,false,0.0,0.0,2050
IE_Coal,2050,false,0.0,0.0,2050
IE_Nuclear,2050,false,0.0,0.0,2050
IE_CCGT,2050,false,0.0,0.0,2050
IE_OCGT,2050,false,0.0,0.0,2050
IE_Battery,2050,false,0.0,0.0,2050
IE_Wind_Onshore2,2050,false,0.0,0.0,2050
IE_Wind_Offshore2,2050,false,0.0,0.0,2050
IE_Coal2,2050,false,0.0,0.0,2050
IE_Nuclear2,2050,false,0.0,0.0,2050
SE_Solar,2050,false,0.0,0.0,2050
SE_Wind_Onshore,2050,false,0.0,0.0,2050
SE_Wind_Offshore,2050,false,0.0,0.0,2050
SE_Coal,2050,false,0.0,0.0,2050
SE_Nuclear,2050,false,0.0,0.0,2050
SE_CCGT,2050,false,0.0,0.0,2050
SE_OCGT,2050,false,0.0,0.0,2050
SE_Battery,2050,false,0.0,0.0,2050
SE_Wind_Onshore2,2050,false,0.0,0.0,2050
SE_Wind_Offshore2,2050,false,0.0,0.0,2050
SE_Coal2,2050,false,0.0,0.0,2050
SE_Nuclear2,2050,false,0.0,0.0,2050
AT_Solar,2050,false,0.0,0.0,2050
AT_Wind_Onshore,2050,false,0.0,0.0,2050
AT_Wind_Offshore,2050,false,0.0,0.0,2050
AT_Coal,2050,false,0.0,0.0,2050
AT_Nuclear,2050,false,0.0,0.0,2050
AT_CCGT,2050,false,0.0,0.0,2050
AT_OCGT,2050,false,0.0,0.0,2050
AT_Battery,2050,false,0.0,0.0,2050
AT_Wind_Onshore2,2050,false,0.0,0.0,2050
AT_Wind_Offshore2,2050,false,0.0,0.0,2050
AT_Coal2,2050,false,0.0,0.0,2050
AT_Nuclear2,2050,false,0.0,0.0,2050
CZ_Solar,2050,false,0.0,0.0,2050
CZ_Wind_Onshore,2050,false,0.0,0.0,2050
CZ_Wind_Offshore,2050,false,0.0,0.0,2050
CZ_Coal,2050,false,0.0,0.0,2050
CZ_Nuclear,2050,false,0.0,0.0,2050
CZ_CCGT,2050,false,0.0,0.0,2050
CZ_OCGT,2050,false,0.0,0.0,2050
CZ_Battery,2050,false,0.0,0.0,2050
CZ_Wind_Onshore2,2050,false,0.0,0.0,2050
CZ_Wind_Offshore2,2050,false,0.0,0.0,2050
CZ_Coal2,2050,false,0.0,0.0,2050
CZ_Nuclear2,2050,false,0.0,0.0,2050
PL_Solar,2050,false,0.0,0.0,2050
PL_Wind_Onshore,2050,false,0.0,0.0,2050
PL_Wind_Offshore,2050,false,0.0,0.0,2050
PL_Coal,2050,false,0.0,0.0,2050
PL_Nuclear,2050,false,0.0,0.0,2050
PL_CCGT,2050,false,0.0,0.0,2050
PL_OCGT,2050,false,0.0,0.0,2050
PL_Battery,2050,false,0.0,0.0,2050
PL_Wind_Onshore2,2050,false,0.0,0.0,2050
PL_Wind_Offshore2,2050,false,0.0,0.0,2050
PL_Coal2,2050,false,0.0,0.0,2050
PL_Nuclear2,2050,false,0.0,0.0,2050
ES_Solar,2050,false,0.0,0.0,2050
ES_Wind_Onshore,2050,false,0.0,0.0,2050
ES_Wind_Offshore,2050,false,0.0,0.0,2050
ES_Coal,2050,false,0.0,0.0,2050
ES_Nuclear,2050,false,0.0,0.0,2050
ES_CCGT,2050,false,0.0,0.0,2050
ES_OCGT,2050,false,0.0,0.0,2050
ES_Battery,2050,false,0.0,0.0,2050
ES_Wind_Onshore2,2050,false,0.0,0.0,2050
ES_Wind_Offshore2,2050,false,0.0,0.0,2050
ES_Coal2,2050,false,0.0,0.0,2050
ES_Nuclear2,2050,false,0.0,0.0,2050
IT_Solar,2050,false,0.0,0.0,2050
IT_Wind_Onshore,2050,false,0.0,0.0,2050
IT_Wind_Offshore,2050,false,0.0,0.0,2050
IT_Coal,2050,false,0.0,0.0,2050
IT_Nuclear,2050,false,0.0,0.0,2050
IT_CCGT,2050,false,0.0,0.0,2050
IT_OCGT,2050,false,0.0,0.0,2050
IT_Battery,2050,false,0.0,0.0,2050
IT_Wind_Onshore2,2050,false,0.0,0.0,2050
IT_Wind_Offshore2,2050,false,0.0,0.0,2050
IT_Coal2,2050,false,0.0,0.0,2050
IT_Nuclear2,2050,false,0.0,0.0,2050
LT_Solar,2050,false,0.0,0.0,2050
LT_Wind_Onshore,2050,false,0.0,0.0,2050
LT_Wind_Offshore,2050,false,0.0,0.0,2050
LT_Coal,2050,false,0.0,0.0,2050
LT_Nuclear,2050,false,0.0,0.0,2050
LT_CCGT,2050,false,0.0,0.0,2050
LT_OCGT,2050,false,0.0,0.0,2050
LT_Battery,2050,false,0.0,0.0,2050
LT_Wind_Onshore2,2050,false,0.0,0.0,2050
LT_Wind_Offshore2,2050,false,0.0,0.0,2050
