asset,commission_year,fixed_cost,fixed_cost_storage_energy,investment_cost,investment_cost_storage_energy,investment_limit,investment_limit_storage_energy,storage_loss_from_stored_energy
DK_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
DK_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
DK_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
DK_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
DK_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
DK_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
DK_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
DK_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
NO_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
NO_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
NO_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
NO_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
NO_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
NO_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
NO_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
NO_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
NO_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
NO_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
NO_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
NO_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
IE_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
IE_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
IE_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
IE_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
IE_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
IE_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
IE_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
IE_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
IE_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
IE_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
IE_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
IE_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
SE_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
SE_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
SE_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
SE_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
SE_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
SE_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
SE_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
SE_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
SE_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
SE_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
SE_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
SE_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
AT_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
AT_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
AT_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
AT_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
AT_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
AT_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
AT_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
AT_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
AT_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
AT_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
AT_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
AT_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
CZ_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
CZ_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
CZ_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
CZ_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
CZ_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
CZ_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
CZ_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
CZ_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
CZ_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
CZ_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
CZ_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
CZ_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
PL_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
PL_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
PL_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
PL_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
PL_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
PL_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
PL_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
PL_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
PL_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
PL_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
PL_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
PL_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
ES_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
ES_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
ES_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
ES_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
ES_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
ES_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
ES_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
ES_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
ES_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
ES_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
ES_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
ES_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
IT_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
IT_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
IT_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
IT_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
IT_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
IT_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
IT_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
IT_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
IT_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
IT_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
IT_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
IT_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
LT_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
LT_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
LT_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
LT_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
LT_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
LT_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
LT_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
LT_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
LT_Wind_Offshore2,2050,0.0,0.0,3580.0,0.0,,,0.0
LT_Coal2,2050,0.0,0.0,1200.0,0.0,,,0.0
LT_Nuclear2,2050,0.0,0.0,8658.0,0.0,,,0.0
LT_Battery,2050,0.0,0.0,146.0,146.0,,,0.0
FI_Solar,2050,0.0,0.0,485.0,0.0,,,0.0
FI_Wind_Onshore,2050,0.0,0.0,1000.0,0.0,,,0.0
FI_Wind_Offshore,2050,0.0,0.0,2580.0,0.0,,,0.0
FI_Coal,2050,0.0,0.0,1500.0,0.0,,,0.0
FI_Nuclear,2050,0.0,0.0,5658.0,0.0,,,0.0
FI_CCGT,2050,0.0,0.0,775.0,0.0,,,0.0
FI_OCGT,2050,0.0,0.0,475.0,0.0,,,0.0
FI_Wind_Onshore2,2050,0.0,0.0,600.0,0.0,,,0.0
