5.8644974398666136e7;2.0889907558992447e6;386104.02795191546;5.6555983642766885e7;1.2226600605876572e7
5.864585108552944e7;2.0889907558992447e6;386104.02795191546;5.655686032963019e7;1.2222907464845197e7
5.8645463352830194e7;2.0889907558992447e6;386104.02795191546;5.655647259693094e7;1.2227293710846506e7
5.8645975787076235e7;2.0889907558992447e6;386104.02795191546;5.655698503117699e7;1.22271929284268e7
5.8646275716659345e7;2.0889907558992447e6;386104.02795191546;5.6557284960760094e7;1.2209592569493435e7
5.864554886808782e7;2.0889907558992447e6;386104.02795191546;5.655655811218857e7;1.2225995867184034e7
5.864561902961312e7;2.0889907558992447e6;386104.02795191546;5.655662827371387e7;1.2228378681189936e7
5.864498912728726e7;2.0889907558992447e6;386104.02795191546;5.655599837138802e7;1.2226615334496213e7
5.864504950765914e7;2.0889907558992447e6;386104.02795191546;5.6556058751759894e7;1.2226675714869587e7
5.864532796161306e7;2.0889907558992447e6;386104.02795191546;5.6556337205713816e7;1.222705196751943e7
