id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
76,AT_Hydro_Reservoir,2050,301,304,-0.07397411416329791,0.0,0.0
77,AT_Hydro_Reservoir,2050,305,308,-0.07397411416329791,0.0,0.0
78,AT_Hydro_Reservoir,2050,309,312,-0.07397411416329791,0.0,0.0
79,AT_Hydro_Reservoir,2050,313,316,-0.07397411416329791,0.0,0.0
80,AT_Hydro_Reservoir,2050,317,320,-0.07397411416329791,0.0,0.0
81,AT_Hydro_Reservoir,2050,321,324,-0.07397411416329791,0.0,0.0
82,AT_Hydro_Reservoir,2050,325,328,-0.07397411416329791,0.0,0.0
83,AT_Hydro_Reservoir,2050,329,332,-0.07397411416329791,0.0,0.0
84,AT_Hydro_Reservoir,2050,333,336,-0.07397411416329791,0.0,0.0
85,AT_Hydro_Reservoir,2050,337,340,-0.07397411416329791,0.0,0.0
86,AT_Hydro_Reservoir,2050,341,344,-0.07397411416329791,0.0,0.0
87,AT_Hydro_Reservoir,2050,345,348,-0.07397411416329791,0.0,0.0
88,AT_Hydro_Reservoir,2050,349,352,-0.07397411416329791,0.0,0.0
89,AT_Hydro_Reservoir,2050,353,356,-0.07397411416329791,0.0,0.0
90,AT_Hydro_Reservoir,2050,357,360,-0.07397411416329791,0.0,0.0
91,AT_Hydro_Reservoir,2050,361,364,-0.07397411416329791,0.0,0.0
92,AT_Pump_Hydro_Closed,2050,1,4,0.03945844840202738,0.0,0.0
93,AT_Pump_Hydro_Closed,2050,5,8,0.03945844840202738,0.0,0.0
94,AT_Pump_Hydro_Closed,2050,9,12,0.03945844840202738,0.0,0.0
95,AT_Pump_Hydro_Closed,2050,13,16,0.03945844840202738,-0.03378639743380686,0.0
96,AT_Pump_Hydro_Closed,2050,17,20,0.0056720509682205164,0.0,0.0
97,AT_Pump_Hydro_Closed,2050,21,24,0.0056720509682205164,0.0,0.0
98,AT_Pump_Hydro_Closed,2050,25,28,0.0056720509682205164,0.0,0.0
99,AT_Pump_Hydro_Closed,2050,29,32,0.0056720509682205164,0.0,0.0
100,AT_Pump_Hydro_Closed,2050,33,36,0.0056720509682205164,0.0,0.0
101,AT_Pump_Hydro_Closed,2050,37,40,0.0056720509682205164,0.0,0.0
102,AT_Pump_Hydro_Closed,2050,41,44,0.0056720509682205164,0.0,0.0
103,AT_Pump_Hydro_Closed,2050,45,48,0.0056720509682205164,0.0,0.0
104,AT_Pump_Hydro_Closed,2050,49,52,0.0056720509682205164,0.0,0.0
105,AT_Pump_Hydro_Closed,2050,53,56,0.0056720509682205164,0.0,0.0
