id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,asset_1,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer_1,unit_commitment_method,use_binary_storage_method,start_up_cost,shut_down_cost,dual_limit_units_on_simple_method
1,AT_Gas,2050,1,1,2,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
2,AT_Gas,2050,1,3,4,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
3,AT_Gas,2050,1,5,6,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
4,AT_Gas,2050,1,7,8,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
5,AT_Gas,2050,1,9,10,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
6,AT_Gas,2050,1,11,12,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
7,AT_Gas,2050,1,13,14,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
8,AT_Gas,2050,1,15,16,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
9,AT_Gas,2050,1,17,18,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
10,AT_Gas,2050,1,19,20,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
11,AT_Gas,2050,1,21,22,true,AT_Gas,3260.0,0.0,,0.0,1,0.0,,false,false,none,false,0.9,0.9,0.25,true,false,1,producer,true,true,su-sd-cons-eq-9,,34.2,0.0,0.0
