id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
112,AT_Coal,2030,6,22,22,8,0.0
113,AT_Coal,2030,7,4,4,2,0.0
114,AT_Coal,2030,7,7,8,3,0.0
115,AT_Coal,2030,7,10,10,4,0.0
116,AT_Coal,2030,7,13,14,5,0.0
117,AT_Coal,2030,7,16,16,6,0.0
118,AT_Coal,2030,7,19,20,7,0.0
119,AT_Coal,2030,7,22,22,8,0.0
120,AT_Coal,2030,8,4,4,2,0.0
121,AT_Coal,2030,8,7,8,3,0.0
122,AT_Coal,2030,8,10,10,4,0.0
123,AT_Coal,2030,8,13,14,5,0.0
124,AT_Coal,2030,8,16,16,6,0.0
125,AT_Coal,2030,8,19,20,7,0.0
126,AT_Coal,2030,8,22,22,8,0.0
127,AT_Coal,2030,9,4,4,2,0.0
128,AT_Coal,2030,9,7,8,3,0.0
129,AT_Coal,2030,9,10,10,4,0.0
130,AT_Coal,2030,9,13,14,5,0.0
131,AT_Coal,2030,9,16,16,6,0.0
132,AT_Coal,2030,9,19,20,7,0.0
133,AT_Coal,2030,9,22,22,8,0.0
134,AT_Coal,2030,10,4,4,2,0.0
135,AT_Coal,2030,10,7,8,3,0.0
136,AT_Coal,2030,10,10,10,4,0.0
137,AT_Coal,2030,10,13,14,5,0.0
138,AT_Coal,2030,10,16,16,6,0.0
139,AT_Coal,2030,10,19,20,7,0.0
140,AT_Coal,2030,10,22,22,8,0.0
141,AT_Nuclear,2030,1,4,4,2,0.0
142,AT_Nuclear,2030,1,7,8,3,0.0
143,AT_Nuclear,2030,1,10,10,4,0.0
144,AT_Nuclear,2030,1,13,14,5,0.0
145,AT_Nuclear,2030,1,16,16,6,0.0
146,AT_Nuclear,2030,1,19,20,7,0.0
147,AT_Nuclear,2030,1,22,22,8,0.0
148,AT_Nuclear,2030,2,4,4,2,0.0
149,AT_Nuclear,2030,2,7,8,3,0.0
150,AT_Nuclear,2030,2,10,10,4,0.0
151,AT_Nuclear,2030,2,13,14,5,0.0
152,AT_Nuclear,2030,2,16,16,6,0.0
153,AT_Nuclear,2030,2,19,20,7,0.0
154,AT_Nuclear,2030,2,22,22,8,0.0
155,AT_Nuclear,2030,3,4,4,2,0.0
156,AT_Nuclear,2030,3,7,8,3,0.0
157,AT_Nuclear,2030,3,10,10,4,0.0
158,AT_Nuclear,2030,3,13,14,5,0.0
159,AT_Nuclear,2030,3,16,16,6,0.0
160,AT_Nuclear,2030,3,19,20,7,0.0
161,AT_Nuclear,2030,3,22,22,8,0.0
162,AT_Nuclear,2030,4,4,4,2,0.0
163,AT_Nuclear,2030,4,7,8,3,0.0
164,AT_Nuclear,2030,4,10,10,4,0.0
165,AT_Nuclear,2030,4,13,14,5,0.0
166,AT_Nuclear,2030,4,16,16,6,0.0
167,AT_Nuclear,2030,4,19,20,7,0.0
168,AT_Nuclear,2030,4,22,22,8,0.0
169,AT_Nuclear,2030,5,4,4,2,0.0
170,AT_Nuclear,2030,5,7,8,3,0.0
171,AT_Nuclear,2030,5,10,10,4,0.0
172,AT_Nuclear,2030,5,13,14,5,0.0
173,AT_Nuclear,2030,5,16,16,6,0.0
174,AT_Nuclear,2030,5,19,20,7,0.0
175,AT_Nuclear,2030,5,22,22,8,0.0
176,AT_Nuclear,2030,6,4,4,2,0.0
177,AT_Nuclear,2030,6,7,8,3,0.0
178,AT_Nuclear,2030,6,10,10,4,0.0
179,AT_Nuclear,2030,6,13,14,5,0.0
180,AT_Nuclear,2030,6,16,16,6,0.0
181,AT_Nuclear,2030,6,19,20,7,0.0
182,AT_Nuclear,2030,6,22,22,8,0.0
183,AT_Nuclear,2030,7,4,4,2,0.0
184,AT_Nuclear,2030,7,7,8,3,0.0
185,AT_Nuclear,2030,7,10,10,4,0.0
186,AT_Nuclear,2030,7,13,14,5,0.0
187,AT_Nuclear,2030,7,16,16,6,0.0
188,AT_Nuclear,2030,7,19,20,7,0.0
189,AT_Nuclear,2030,7,22,22,8,0.0
190,AT_Nuclear,2030,8,4,4,2,0.0
191,AT_Nuclear,2030,8,7,8,3,0.0
192,AT_Nuclear,2030,8,10,10,4,0.0
193,AT_Nuclear,2030,8,13,14,5,0.0
194,AT_Nuclear,2030,8,16,16,6,0.0
195,AT_Nuclear,2030,8,19,20,7,0.0
196,AT_Nuclear,2030,8,22,22,8,0.0
197,AT_Nuclear,2030,9,4,4,2,0.0
198,AT_Nuclear,2030,9,7,8,3,0.0
199,AT_Nuclear,2030,9,10,10,4,0.0
200,AT_Nuclear,2030,9,13,14,5,0.0
201,AT_Nuclear,2030,9,16,16,6,0.0
202,AT_Nuclear,2030,9,19,20,7,0.0
203,AT_Nuclear,2030,9,22,22,8,0.0
204,AT_Nuclear,2030,10,4,4,2,0.0
205,AT_Nuclear,2030,10,7,8,3,0.0
206,AT_Nuclear,2030,10,10,10,4,0.0
207,AT_Nuclear,2030,10,13,14,5,0.0
208,AT_Nuclear,2030,10,16,16,6,0.0
