asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
CZ_CCGT,2030,false,0.0,0.0,2030
CZ_OCGT,2030,false,0.0,0.0,2030
CZ_Battery,2030,false,0.0,0.0,2030
PL_Solar,2030,false,0.0,0.0,2030
PL_Wind_Onshore,2030,false,0.0,0.0,2030
PL_Wind_Offshore,2030,false,0.0,0.0,2030
PL_Coal,2030,false,0.0,0.0,2030
PL_Nuclear,2030,false,0.0,0.0,2030
PL_CCGT,2030,false,0.0,0.0,2030
PL_OCGT,2030,false,0.0,0.0,2030
PL_Battery,2030,false,0.0,0.0,2030
ES_Solar,2030,false,0.0,0.0,2030
ES_Wind_Onshore,2030,false,0.0,0.0,2030
ES_Wind_Offshore,2030,false,0.0,0.0,2030
ES_Coal,2030,false,0.0,0.0,2030
ES_Nuclear,2030,false,0.0,0.0,2030
ES_CCGT,2030,false,0.0,0.0,2030
ES_OCGT,2030,false,0.0,0.0,2030
ES_Battery,2030,false,0.0,0.0,2030
IT_Solar,2030,false,0.0,0.0,2030
IT_Wind_Onshore,2030,false,0.0,0.0,2030
IT_Wind_Offshore,2030,false,0.0,0.0,2030
IT_Coal,2030,false,0.0,0.0,2030
IT_Nuclear,2030,false,0.0,0.0,2030
IT_CCGT,2030,false,0.0,0.0,2030
IT_OCGT,2030,false,0.0,0.0,2030
IT_Battery,2030,false,0.0,0.0,2030
LT_Solar,2030,false,0.0,0.0,2030
LT_Wind_Onshore,2030,false,0.0,0.0,2030
LT_Wind_Offshore,2030,false,0.0,0.0,2030
LT_Coal,2030,false,0.0,0.0,2030
LT_Nuclear,2030,false,0.0,0.0,2030
LT_CCGT,2030,false,0.0,0.0,2030
LT_OCGT,2030,false,0.0,0.0,2030
LT_Battery,2030,false,0.0,0.0,2030
SI_Solar,2030,false,0.0,0.0,2030
SI_Wind_Onshore,2030,false,0.0,0.0,2030
SI_Wind_Offshore,2030,false,0.0,0.0,2030
SI_Coal,2030,false,0.0,0.0,2030
SI_Nuclear,2030,false,0.0,0.0,2030
SI_CCGT,2030,false,0.0,0.0,2030
SI_OCGT,2030,false,0.0,0.0,2030
SI_Battery,2030,false,0.0,0.0,2030
HU_Solar,2030,false,0.0,0.0,2030
HU_Wind_Onshore,2030,false,0.0,0.0,2030
HU_Wind_Offshore,2030,false,0.0,0.0,2030
HU_Coal,2030,false,0.0,0.0,2030
HU_Nuclear,2030,false,0.0,0.0,2030
HU_CCGT,2030,false,0.0,0.0,2030
HU_OCGT,2030,false,0.0,0.0,2030
HU_Battery,2030,false,0.0,0.0,2030
SK_Solar,2030,false,0.0,0.0,2030
SK_Wind_Onshore,2030,false,0.0,0.0,2030
SK_Wind_Offshore,2030,false,0.0,0.0,2030
SK_Coal,2030,false,0.0,0.0,2030
SK_Nuclear,2030,false,0.0,0.0,2030
SK_CCGT,2030,false,0.0,0.0,2030
SK_OCGT,2030,false,0.0,0.0,2030
SK_Battery,2030,false,0.0,0.0,2030
