id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
677,FR_electrolyzer,2050,3,17,20,0.9425000000000002
678,FR_electrolyzer,2050,3,21,24,0.9425000000000002
679,FR_electrolyzer,2050,4,1,4,-0.0
680,FR_electrolyzer,2050,4,5,8,-0.0
681,FR_electrolyzer,2050,4,9,12,-0.0
682,FR_electrolyzer,2050,4,13,16,-0.0
683,FR_electrolyzer,2050,4,17,20,-0.0
684,FR_electrolyzer,2050,4,21,24,0.7475000000000002
685,FR_electrolyzer,2050,5,1,4,-0.0
686,FR_electrolyzer,2050,5,5,8,-0.0
687,FR_electrolyzer,2050,5,9,12,-0.0
688,FR_electrolyzer,2050,5,13,16,-0.0
689,FR_electrolyzer,2050,5,17,20,-0.0
690,FR_electrolyzer,2050,5,21,24,-0.0
691,FR_electrolyzer,2050,6,1,4,-0.0
692,FR_electrolyzer,2050,6,5,8,-0.0
693,FR_electrolyzer,2050,6,9,12,0.207
694,FR_electrolyzer,2050,6,13,16,-0.0
695,FR_electrolyzer,2050,6,17,20,-0.0
696,FR_electrolyzer,2050,6,21,24,0.14197249617763757
697,FR_electrolyzer,2050,7,1,4,1.2025000000000001
698,FR_electrolyzer,2050,7,5,8,37.0
699,FR_electrolyzer,2050,7,9,12,37.00000000000001
700,FR_electrolyzer,2050,7,13,16,37.0
701,FR_electrolyzer,2050,7,17,20,37.0
702,FR_electrolyzer,2050,7,21,24,37.0
703,FR_electrolyzer,2050,8,1,4,-0.0
704,FR_electrolyzer,2050,8,5,8,-0.0
705,FR_electrolyzer,2050,8,9,12,-0.0
706,FR_electrolyzer,2050,8,13,16,-0.0
707,FR_electrolyzer,2050,8,17,20,-0.0
708,FR_electrolyzer,2050,8,21,24,1.7763568394002505e-15
709,FR_electrolyzer,2050,9,1,4,-0.0
710,FR_electrolyzer,2050,9,5,8,-0.0
711,FR_electrolyzer,2050,9,9,12,1.0699609375
712,FR_electrolyzer,2050,9,13,16,-0.0
713,FR_electrolyzer,2050,9,17,20,1.066249991390153
714,FR_electrolyzer,2050,9,21,24,1.3975
715,FR_electrolyzer,2050,10,1,4,0.529
716,FR_electrolyzer,2050,10,5,8,1.4950000000000012
717,FR_electrolyzer,2050,10,9,12,46.0
718,FR_electrolyzer,2050,10,13,16,1.4950000000000003
719,FR_electrolyzer,2050,10,17,20,1.4950000000000006
720,FR_electrolyzer,2050,10,21,24,1.4950000000000003
721,GR_electrolyzer,2050,1,1,4,1.7225000000000004
722,GR_electrolyzer,2050,1,5,8,1.7225000000000001
723,GR_electrolyzer,2050,1,9,12,-0.0
724,GR_electrolyzer,2050,1,13,16,-0.0
725,GR_electrolyzer,2050,1,17,20,1.7225000000000004
726,GR_electrolyzer,2050,1,21,24,1.7225000000000004
727,GR_electrolyzer,2050,2,1,4,-0.0
728,GR_electrolyzer,2050,2,5,8,-0.0
729,GR_electrolyzer,2050,2,9,12,-0.0
730,GR_electrolyzer,2050,2,13,16,-0.0
731,GR_electrolyzer,2050,2,17,20,-0.0
732,GR_electrolyzer,2050,2,21,24,-0.0
733,GR_electrolyzer,2050,3,1,4,0.9425000000000002
734,GR_electrolyzer,2050,3,5,8,0.9425000000000002
735,GR_electrolyzer,2050,3,9,12,0.7216015625000002
736,GR_electrolyzer,2050,3,13,16,0.7216015625000003
737,GR_electrolyzer,2050,3,17,20,0.9425000000000002
738,GR_electrolyzer,2050,3,21,24,0.9425000000000002
739,GR_electrolyzer,2050,4,1,4,-0.0
740,GR_electrolyzer,2050,4,5,8,-0.0
741,GR_electrolyzer,2050,4,9,12,-0.0
742,GR_electrolyzer,2050,4,13,16,-0.0
743,GR_electrolyzer,2050,4,17,20,-0.0
744,GR_electrolyzer,2050,4,21,24,-0.0
745,GR_electrolyzer,2050,5,1,4,1.1345790637933497
746,GR_electrolyzer,2050,5,5,8,1.1345790637933497
747,GR_electrolyzer,2050,5,9,12,-0.0
748,GR_electrolyzer,2050,5,13,16,-0.0
749,GR_electrolyzer,2050,5,17,20,1.1345790637933497
750,GR_electrolyzer,2050,5,21,24,1.1345790637933497
751,GR_electrolyzer,2050,6,1,4,0.4394878516433343
752,GR_electrolyzer,2050,6,5,8,0.43948785164333437
753,GR_electrolyzer,2050,6,9,12,-0.0
754,GR_electrolyzer,2050,6,13,16,-0.0
