id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
10099,PL_Coal,2050,3,15,16,8,0.0
10100,PL_Coal,2050,3,17,18,9,0.0
10101,PL_Coal,2050,3,19,20,10,0.0
10102,PL_Coal,2050,3,21,22,11,0.0
10103,PL_Coal,2050,3,23,24,12,0.0
10104,PL_Coal,2050,4,3,4,2,0.0
10105,PL_Coal,2050,4,5,6,3,0.0
10106,PL_Coal,2050,4,7,8,4,0.0
10107,PL_Coal,2050,4,9,10,5,0.0
10108,PL_Coal,2050,4,11,12,6,0.0
10109,PL_Coal,2050,4,13,14,7,0.0
10110,PL_Coal,2050,4,15,16,8,0.0
10111,PL_Coal,2050,4,17,18,9,0.0
10112,PL_Coal,2050,4,19,20,10,0.0
10113,PL_Coal,2050,4,21,22,11,0.0
10114,PL_Coal,2050,4,23,24,12,0.0
10115,PL_Coal,2050,5,3,4,2,0.0
10116,PL_Coal,2050,5,5,6,3,0.0
10117,PL_Coal,2050,5,7,8,4,0.0
10118,PL_Coal,2050,5,9,10,5,0.0
10119,PL_Coal,2050,5,11,12,6,0.0
10120,PL_Coal,2050,5,13,14,7,0.0
10121,PL_Coal,2050,5,15,16,8,0.0
10122,PL_Coal,2050,5,17,18,9,0.0
10123,PL_Coal,2050,5,19,20,10,0.0
10124,PL_Coal,2050,5,21,22,11,0.0
10125,PL_Coal,2050,5,23,24,12,0.0
10126,PL_Coal,2050,6,3,4,2,0.0
10127,PL_Coal,2050,6,5,6,3,0.0
10128,PL_Coal,2050,6,7,8,4,0.0
10129,PL_Coal,2050,6,9,10,5,0.0
10130,PL_Coal,2050,6,11,12,6,0.0
10131,PL_Coal,2050,6,13,14,7,0.0
10132,PL_Coal,2050,6,15,16,8,0.0
10133,PL_Coal,2050,6,17,18,9,0.0
10134,PL_Coal,2050,6,19,20,10,0.0
10135,PL_Coal,2050,6,21,22,11,0.0
10136,PL_Coal,2050,6,23,24,12,0.0
10137,PL_Coal,2050,7,3,4,2,0.0
10138,PL_Coal,2050,7,5,6,3,0.0
10139,PL_Coal,2050,7,7,8,4,0.0
10140,PL_Coal,2050,7,9,10,5,0.0
10141,PL_Coal,2050,7,11,12,6,0.0
10142,PL_Coal,2050,7,13,14,7,0.0
10143,PL_Coal,2050,7,15,16,8,0.0
10144,PL_Coal,2050,7,17,18,9,0.0
10145,PL_Coal,2050,7,19,20,10,0.0
10146,PL_Coal,2050,7,21,22,11,0.0
10147,PL_Coal,2050,7,23,24,12,0.0
10148,PL_Coal,2050,8,3,4,2,0.0
10149,PL_Coal,2050,8,5,6,3,0.0
10150,PL_Coal,2050,8,7,8,4,0.0
10151,PL_Coal,2050,8,9,10,5,0.0
10152,PL_Coal,2050,8,11,12,6,0.0
10153,PL_Coal,2050,8,13,14,7,0.0
10154,PL_Coal,2050,8,15,16,8,0.0
10155,PL_Coal,2050,8,17,18,9,0.0
10156,PL_Coal,2050,8,19,20,10,0.0
10157,PL_Coal,2050,8,21,22,11,0.0
10158,PL_Coal,2050,8,23,24,12,0.0
10159,PL_Coal,2050,9,3,4,2,0.0
10160,PL_Coal,2050,9,5,6,3,0.0
10161,PL_Coal,2050,9,7,8,4,0.0
10162,PL_Coal,2050,9,9,10,5,0.0
10163,PL_Coal,2050,9,11,12,6,0.0
10164,PL_Coal,2050,9,13,14,7,0.0
10165,PL_Coal,2050,9,15,16,8,0.0
10166,PL_Coal,2050,9,17,18,9,0.0
10167,PL_Coal,2050,9,19,20,10,0.0
10168,PL_Coal,2050,9,21,22,11,0.0
10169,PL_Coal,2050,9,23,24,12,0.0
10170,PL_Coal,2050,10,3,4,2,0.0
10171,PL_Coal,2050,10,5,6,3,0.0
10172,PL_Coal,2050,10,7,8,4,0.0
10173,PL_Coal,2050,10,9,10,5,0.0
10174,PL_Coal,2050,10,11,12,6,0.0
10175,PL_Coal,2050,10,13,14,7,0.0
10176,PL_Coal,2050,10,15,16,8,0.0
10177,PL_Coal,2050,10,17,18,9,0.0
10178,PL_Coal,2050,10,19,20,10,0.0
10179,PL_Coal,2050,10,21,22,11,0.0
10180,PL_Coal,2050,10,23,24,12,0.0
