id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
12263,HR_Coal,2030,4,5,5,5,0.0
12264,HR_Coal,2030,4,6,6,6,0.0
12265,HR_Coal,2030,4,7,7,7,0.0
12266,HR_Coal,2030,4,8,8,8,0.0
12267,HR_Coal,2030,4,9,9,9,0.0
12268,HR_Coal,2030,4,10,10,10,0.0
12269,HR_Coal,2030,4,11,11,11,0.0
12270,HR_Coal,2030,4,12,12,12,0.0
12271,HR_Coal,2030,4,13,13,13,0.0
12272,HR_Coal,2030,4,14,14,14,0.0
12273,HR_Coal,2030,4,15,15,15,0.0
12274,HR_Coal,2030,4,16,16,16,0.0
12275,HR_Coal,2030,4,17,17,17,0.0
12276,HR_Coal,2030,4,18,18,18,0.0
12277,HR_Coal,2030,4,19,19,19,0.0
12278,HR_Coal,2030,4,20,20,20,0.0
12279,HR_Coal,2030,4,21,21,21,0.0
12280,HR_Coal,2030,4,22,22,22,0.0
12281,HR_Coal,2030,4,23,23,23,0.0
12282,HR_Coal,2030,4,24,24,24,0.0
12283,HR_Coal,2030,5,2,2,2,0.0
12284,HR_Coal,2030,5,3,3,3,0.0
12285,HR_Coal,2030,5,4,4,4,0.0
12286,HR_Coal,2030,5,5,5,5,0.0
12287,HR_Coal,2030,5,6,6,6,0.0
12288,HR_Coal,2030,5,7,7,7,0.0
12289,HR_Coal,2030,5,8,8,8,0.0
12290,HR_Coal,2030,5,9,9,9,0.0
12291,HR_Coal,2030,5,10,10,10,0.0
12292,HR_Coal,2030,5,11,11,11,0.0
12293,HR_Coal,2030,5,12,12,12,0.0
12294,HR_Coal,2030,5,13,13,13,0.0
12295,HR_Coal,2030,5,14,14,14,0.0
12296,HR_Coal,2030,5,15,15,15,0.0
12297,HR_Coal,2030,5,16,16,16,0.0
12298,HR_Coal,2030,5,17,17,17,0.0
12299,HR_Coal,2030,5,18,18,18,0.0
12300,HR_Coal,2030,5,19,19,19,0.0
12301,HR_Coal,2030,5,20,20,20,0.0
12302,HR_Coal,2030,5,21,21,21,0.0
12303,HR_Coal,2030,5,22,22,22,0.0
12304,HR_Coal,2030,5,23,23,23,0.0
12305,HR_Coal,2030,5,24,24,24,0.0
12306,HR_Coal,2030,6,2,2,2,0.0
12307,HR_Coal,2030,6,3,3,3,0.0
12308,HR_Coal,2030,6,4,4,4,0.0
12309,HR_Coal,2030,6,5,5,5,0.0
12310,HR_Coal,2030,6,6,6,6,0.0
12311,HR_Coal,2030,6,7,7,7,0.0
12312,HR_Coal,2030,6,8,8,8,0.0
12313,HR_Coal,2030,6,9,9,9,0.0
12314,HR_Coal,2030,6,10,10,10,0.0
12315,HR_Coal,2030,6,11,11,11,0.0
12316,HR_Coal,2030,6,12,12,12,0.0
12317,HR_Coal,2030,6,13,13,13,0.0
12318,HR_Coal,2030,6,14,14,14,0.0
12319,HR_Coal,2030,6,15,15,15,0.0
12320,HR_Coal,2030,6,16,16,16,0.0
12321,HR_Coal,2030,6,17,17,17,0.0
12322,HR_Coal,2030,6,18,18,18,0.0
12323,HR_Coal,2030,6,19,19,19,0.0
12324,HR_Coal,2030,6,20,20,20,0.0
12325,HR_Coal,2030,6,21,21,21,0.0
12326,HR_Coal,2030,6,22,22,22,0.0
12327,HR_Coal,2030,6,23,23,23,0.0
12328,HR_Coal,2030,6,24,24,24,0.0
12329,HR_Coal,2030,7,2,2,2,0.0
12330,HR_Coal,2030,7,3,3,3,0.0
12331,HR_Coal,2030,7,4,4,4,0.0
12332,HR_Coal,2030,7,5,5,5,0.0
12333,HR_Coal,2030,7,6,6,6,0.0
12334,HR_Coal,2030,7,7,7,7,0.0
12335,HR_Coal,2030,7,8,8,8,0.0
12336,HR_Coal,2030,7,9,9,9,0.0
12337,HR_Coal,2030,7,10,10,10,0.0
12338,HR_Coal,2030,7,11,11,11,0.0
12339,HR_Coal,2030,7,12,12,12,0.0
12340,HR_Coal,2030,7,13,13,13,0.0
12341,HR_Coal,2030,7,14,14,14,0.0
12342,HR_Coal,2030,7,15,15,15,0.0
12343,HR_Coal,2030,7,16,16,16,0.0
12344,HR_Coal,2030,7,17,17,17,0.0
12345,HR_Coal,2030,7,18,18,18,0.0
12346,HR_Coal,2030,7,19,19,19,0.0
12347,HR_Coal,2030,7,20,20,20,0.0
12348,HR_Coal,2030,7,21,21,21,0.0
12349,HR_Coal,2030,7,22,22,22,0.0
12350,HR_Coal,2030,7,23,23,23,0.0
12351,HR_Coal,2030,7,24,24,24,0.0
12352,HR_Coal,2030,8,2,2,2,0.0
12353,HR_Coal,2030,8,3,3,3,0.0
12354,HR_Coal,2030,8,4,4,4,0.0
12355,HR_Coal,2030,8,5,5,5,0.0
12356,HR_Coal,2030,8,6,6,6,0.0
12357,HR_Coal,2030,8,7,7,7,0.0
12358,HR_Coal,2030,8,8,8,8,0.0
12359,HR_Coal,2030,8,9,9,9,0.0
12360,HR_Coal,2030,8,10,10,10,0.0
12361,HR_Coal,2030,8,11,11,11,0.0
12362,HR_Coal,2030,8,12,12,12,0.0
12363,HR_Coal,2030,8,13,13,13,0.0
12364,HR_Coal,2030,8,14,14,14,0.0
12365,HR_Coal,2030,8,15,15,15,0.0
12366,HR_Coal,2030,8,16,16,16,0.0
12367,HR_Coal,2030,8,17,17,17,0.0
12368,HR_Coal,2030,8,18,18,18,0.0
12369,HR_Coal,2030,8,19,19,19,0.0
12370,HR_Coal,2030,8,20,20,20,0.0
12371,HR_Coal,2030,8,21,21,21,0.0
12372,HR_Coal,2030,8,22,22,22,0.0
12373,HR_Coal,2030,8,23,23,23,0.0
12374,HR_Coal,2030,8,24,24,24,0.0
12375,HR_Coal,2030,9,2,2,2,0.0
12376,HR_Coal,2030,9,3,3,3,0.0
12377,HR_Coal,2030,9,4,4,4,0.0
12378,HR_Coal,2030,9,5,5,5,0.0
12379,HR_Coal,2030,9,6,6,6,0.0
12380,HR_Coal,2030,9,7,7,7,0.0
12381,HR_Coal,2030,9,8,8,8,0.0
12382,HR_Coal,2030,9,9,9,9,0.0
12383,HR_Coal,2030,9,10,10,10,0.0
12384,HR_Coal,2030,9,11,11,11,0.0
12385,HR_Coal,2030,9,12,12,12,0.0
12386,HR_Coal,2030,9,13,13,13,0.0
12387,HR_Coal,2030,9,14,14,14,0.0
12388,HR_Coal,2030,9,15,15,15,0.0
12389,HR_Coal,2030,9,16,16,16,0.0
12390,HR_Coal,2030,9,17,17,17,0.0
12391,HR_Coal,2030,9,18,18,18,0.0
12392,HR_Coal,2030,9,19,19,19,0.0
