id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
16997,LT_Solar,2030,7,9,10,0.0
16998,LT_Solar,2030,7,11,12,0.0
16999,LT_Solar,2030,7,13,14,0.0
17000,LT_Solar,2030,7,15,16,-0.386563419390348
17001,LT_Solar,2030,7,17,18,-1.3098
17002,LT_Solar,2030,7,19,20,-1.3098
17003,LT_Solar,2030,7,21,22,-1.3098
17004,LT_Solar,2030,7,23,24,-1.3098
17005,LT_Solar,2030,8,1,2,0.0
17006,LT_Solar,2030,8,3,4,0.0
17007,LT_Solar,2030,8,5,6,0.0
17008,LT_Solar,2030,8,7,8,0.0
17009,LT_Solar,2030,8,9,10,-1.0974
17010,LT_Solar,2030,8,11,12,0.0
17011,LT_Solar,2030,8,13,14,0.0
17012,LT_Solar,2030,8,15,16,0.0
17013,LT_Solar,2030,8,17,18,0.0
17014,LT_Solar,2030,8,19,20,-1.0974
17015,LT_Solar,2030,8,21,22,0.0
17016,LT_Solar,2030,8,23,24,0.0
17017,LT_Solar,2030,9,1,2,0.0
17018,LT_Solar,2030,9,3,4,0.0
17019,LT_Solar,2030,9,5,6,0.0
17020,LT_Solar,2030,9,7,8,0.0
17021,LT_Solar,2030,9,9,10,-1.5222
17022,LT_Solar,2030,9,11,12,-4.556873129424284
17023,LT_Solar,2030,9,13,14,-1.040271238012295
17024,LT_Solar,2030,9,15,16,0.0
17025,LT_Solar,2030,9,17,18,0.0
17026,LT_Solar,2030,9,19,20,-1.5222
17027,LT_Solar,2030,9,21,22,-1.5222
17028,LT_Solar,2030,9,23,24,0.0
17029,LT_Solar,2030,10,1,2,-1.6284
17030,LT_Solar,2030,10,3,4,-1.6284
17031,LT_Solar,2030,10,5,6,-3.036
17032,LT_Solar,2030,10,7,8,-3.036
17033,LT_Solar,2030,10,9,10,-3.036
17034,LT_Solar,2030,10,11,12,-3.036
17035,LT_Solar,2030,10,13,14,-4.691999999999999
17036,LT_Solar,2030,10,15,16,-4.691999999999999
17037,LT_Solar,2030,10,17,18,-14.924099034825614
17038,LT_Solar,2030,10,19,20,-3.036
17039,LT_Solar,2030,10,21,22,-3.036
17040,LT_Solar,2030,10,23,24,-1.6284
17041,LT_Wind_Offshore,2030,1,1,2,-3.498
17042,LT_Wind_Offshore,2030,1,3,4,-3.498
17043,LT_Wind_Offshore,2030,1,5,6,-3.498
17044,LT_Wind_Offshore,2030,1,7,8,-5.406
17045,LT_Wind_Offshore,2030,1,9,10,-5.406
17046,LT_Wind_Offshore,2030,1,11,12,-5.406
17047,LT_Wind_Offshore,2030,1,13,14,-3.498
17048,LT_Wind_Offshore,2030,1,15,16,-3.498
17049,LT_Wind_Offshore,2030,1,17,18,-3.498
17050,LT_Wind_Offshore,2030,1,19,20,-5.406
17051,LT_Wind_Offshore,2030,1,21,22,-3.498
17052,LT_Wind_Offshore,2030,1,23,24,-3.498
17053,LT_Wind_Offshore,2030,2,1,2,0.0
17054,LT_Wind_Offshore,2030,2,3,4,0.0
17055,LT_Wind_Offshore,2030,2,5,6,0.0
17056,LT_Wind_Offshore,2030,2,7,8,0.0
17057,LT_Wind_Offshore,2030,2,9,10,-0.7329221053096409
17058,LT_Wind_Offshore,2030,2,11,12,-1.1682000000000001
17059,LT_Wind_Offshore,2030,2,13,14,-1.8912245947400947
17060,LT_Wind_Offshore,2030,2,15,16,-1.8912245947400947
17061,LT_Wind_Offshore,2030,2,17,18,-1.1682000000000001
17062,LT_Wind_Offshore,2030,2,19,20,-1.1682000000000001
17063,LT_Wind_Offshore,2030,2,21,22,0.0
17064,LT_Wind_Offshore,2030,2,23,24,-1.1682000000000001
17065,LT_Wind_Offshore,2030,3,1,2,0.0
17066,LT_Wind_Offshore,2030,3,3,4,0.0
17067,LT_Wind_Offshore,2030,3,5,6,0.0
17068,LT_Wind_Offshore,2030,3,7,8,0.0
17069,LT_Wind_Offshore,2030,3,9,10,0.0
17070,LT_Wind_Offshore,2030,3,11,12,0.0
17071,LT_Wind_Offshore,2030,3,13,14,0.0
17072,LT_Wind_Offshore,2030,3,15,16,0.0
