id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
111,AT_OCGT,2050,7,16,24,4,0.0
112,AT_OCGT,2050,8,6,10,2,0.0
113,AT_OCGT,2050,8,11,15,3,0.0
114,AT_OCGT,2050,8,16,24,4,0.0
115,AT_OCGT,2050,9,6,10,2,0.0
116,AT_OCGT,2050,9,11,15,3,0.0
117,AT_OCGT,2050,9,16,24,4,0.0
118,AT_OCGT,2050,10,6,10,2,0.0
119,AT_OCGT,2050,10,11,15,3,0.0
120,AT_OCGT,2050,10,16,24,4,0.0
121,BE_CCGT,2050,1,6,10,2,0.0
122,BE_CCGT,2050,1,11,15,3,0.0
123,BE_CCGT,2050,1,16,24,4,0.0
124,BE_CCGT,2050,2,6,10,2,0.0
125,BE_CCGT,2050,2,11,15,3,0.0
126,BE_CCGT,2050,2,16,24,4,0.0
127,BE_CCGT,2050,3,6,10,2,0.0
128,BE_CCGT,2050,3,11,15,3,0.0
129,BE_CCGT,2050,3,16,24,4,0.0
130,BE_CCGT,2050,4,6,10,2,0.0
131,BE_CCGT,2050,4,11,15,3,0.0
132,BE_CCGT,2050,4,16,24,4,0.0
133,BE_CCGT,2050,5,6,10,2,0.0
134,BE_CCGT,2050,5,11,15,3,0.0
135,BE_CCGT,2050,5,16,24,4,0.0
136,BE_CCGT,2050,6,6,10,2,0.0
137,BE_CCGT,2050,6,11,15,3,0.0
138,BE_CCGT,2050,6,16,24,4,0.0
139,BE_CCGT,2050,7,6,10,2,0.0
140,BE_CCGT,2050,7,11,15,3,0.0
141,BE_CCGT,2050,7,16,24,4,0.0
142,BE_CCGT,2050,8,6,10,2,0.0
143,BE_CCGT,2050,8,11,15,3,0.0
144,BE_CCGT,2050,8,16,24,4,0.0
145,BE_CCGT,2050,9,6,10,2,0.0
146,BE_CCGT,2050,9,11,15,3,0.0
147,BE_CCGT,2050,9,16,24,4,0.0
148,BE_CCGT,2050,10,6,10,2,0.0
149,BE_CCGT,2050,10,11,15,3,0.0
150,BE_CCGT,2050,10,16,24,4,0.0
151,BE_Coal,2050,1,6,10,2,0.0
152,BE_Coal,2050,1,11,15,3,0.0
153,BE_Coal,2050,1,16,24,4,0.0
154,BE_Coal,2050,2,6,10,2,0.0
155,BE_Coal,2050,2,11,15,3,0.0
156,BE_Coal,2050,2,16,24,4,0.0
157,BE_Coal,2050,3,6,10,2,0.0
158,BE_Coal,2050,3,11,15,3,0.0
159,BE_Coal,2050,3,16,24,4,0.0
160,BE_Coal,2050,4,6,10,2,0.0
161,BE_Coal,2050,4,11,15,3,0.0
162,BE_Coal,2050,4,16,24,4,0.0
163,BE_Coal,2050,5,6,10,2,0.0
164,BE_Coal,2050,5,11,15,3,0.0
165,BE_Coal,2050,5,16,24,4,0.0
166,BE_Coal,2050,6,6,10,2,0.0
167,BE_Coal,2050,6,11,15,3,0.0
168,BE_Coal,2050,6,16,24,4,0.0
169,BE_Coal,2050,7,6,10,2,0.0
170,BE_Coal,2050,7,11,15,3,0.0
171,BE_Coal,2050,7,16,24,4,0.0
172,BE_Coal,2050,8,6,10,2,0.0
173,BE_Coal,2050,8,11,15,3,0.0
174,BE_Coal,2050,8,16,24,4,0.0
175,BE_Coal,2050,9,6,10,2,0.0
176,BE_Coal,2050,9,11,15,3,0.0
177,BE_Coal,2050,9,16,24,4,0.0
178,BE_Coal,2050,10,6,10,2,0.0
179,BE_Coal,2050,10,11,15,3,0.0
180,BE_Coal,2050,10,16,24,4,0.0
181,BE_Nuclear,2050,1,6,10,2,0.0
182,BE_Nuclear,2050,1,11,15,3,0.0
183,BE_Nuclear,2050,1,16,24,4,0.0
184,BE_Nuclear,2050,2,6,10,2,0.0
185,BE_Nuclear,2050,2,11,15,3,0.0
186,BE_Nuclear,2050,2,16,24,4,0.0
187,BE_Nuclear,2050,3,6,10,2,0.0
188,BE_Nuclear,2050,3,11,15,3,0.0
189,BE_Nuclear,2050,3,16,24,4,0.0
190,BE_Nuclear,2050,4,6,10,2,0.0
191,BE_Nuclear,2050,4,11,15,3,0.0
192,BE_Nuclear,2050,4,16,24,4,0.0
193,BE_Nuclear,2050,5,6,10,2,0.0
194,BE_Nuclear,2050,5,11,15,3,0.0
195,BE_Nuclear,2050,5,16,24,4,0.0
196,BE_Nuclear,2050,6,6,10,2,0.0
197,BE_Nuclear,2050,6,11,15,3,0.0
198,BE_Nuclear,2050,6,16,24,4,0.0
199,BE_Nuclear,2050,7,6,10,2,0.0
200,BE_Nuclear,2050,7,11,15,3,0.0
201,BE_Nuclear,2050,7,16,24,4,0.0
202,BE_Nuclear,2050,8,6,10,2,0.0
203,BE_Nuclear,2050,8,11,15,3,0.0
204,BE_Nuclear,2050,8,16,24,4,0.0
205,BE_Nuclear,2050,9,6,10,2,0.0
206,BE_Nuclear,2050,9,11,15,3,0.0
207,BE_Nuclear,2050,9,16,24,4,0.0
208,BE_Nuclear,2050,10,6,10,2,0.0
209,BE_Nuclear,2050,10,11,15,3,0.0
210,BE_Nuclear,2050,10,16,24,4,0.0
211,BE_OCGT,2050,1,6,10,2,0.0
212,BE_OCGT,2050,1,11,15,3,0.0
213,BE_OCGT,2050,1,16,24,4,0.0
214,BE_OCGT,2050,2,6,10,2,0.0
215,BE_OCGT,2050,2,11,15,3,0.0
216,BE_OCGT,2050,2,16,24,4,0.0
217,BE_OCGT,2050,3,6,10,2,0.0
218,BE_OCGT,2050,3,11,15,3,0.0
219,BE_OCGT,2050,3,16,24,4,0.0
220,BE_OCGT,2050,4,6,10,2,0.0
221,BE_OCGT,2050,4,11,15,3,0.0
222,BE_OCGT,2050,4,16,24,4,0.0
223,BE_OCGT,2050,5,6,10,2,0.0
224,BE_OCGT,2050,5,11,15,3,0.0
225,BE_OCGT,2050,5,16,24,4,0.0
226,BE_OCGT,2050,6,6,10,2,0.0
227,BE_OCGT,2050,6,11,15,3,0.0
228,BE_OCGT,2050,6,16,24,4,0.0
229,BE_OCGT,2050,7,6,10,2,0.0
230,BE_OCGT,2050,7,11,15,3,0.0
231,BE_OCGT,2050,7,16,24,4,0.0
232,BE_OCGT,2050,8,6,10,2,0.0
233,BE_OCGT,2050,8,11,15,3,0.0
234,BE_OCGT,2050,8,16,24,4,0.0
235,BE_OCGT,2050,9,6,10,2,0.0
236,BE_OCGT,2050,9,11,15,3,0.0
237,BE_OCGT,2050,9,16,24,4,0.0
238,BE_OCGT,2050,10,6,10,2,0.0
239,BE_OCGT,2050,10,11,15,3,0.0
240,BE_OCGT,2050,10,16,24,4,0.0
241,BG_CCGT,2050,1,6,10,2,0.0
242,BG_CCGT,2050,1,11,15,3,0.0
243,BG_CCGT,2050,1,16,24,4,0.0
244,BG_CCGT,2050,2,6,10,2,0.0
245,BG_CCGT,2050,2,11,15,3,0.0
246,BG_CCGT,2050,2,16,24,4,0.0
247,BG_CCGT,2050,3,6,10,2,0.0
248,BG_CCGT,2050,3,11,15,3,0.0
249,BG_CCGT,2050,3,16,24,4,0.0
250,BG_CCGT,2050,4,6,10,2,0.0
251,BG_CCGT,2050,4,11,15,3,0.0
252,BG_CCGT,2050,4,16,24,4,0.0
253,BG_CCGT,2050,5,6,10,2,0.0
254,BG_CCGT,2050,5,11,15,3,0.0
255,BG_CCGT,2050,5,16,24,4,0.0
256,BG_CCGT,2050,6,6,10,2,0.0
257,BG_CCGT,2050,6,11,15,3,0.0
258,BG_CCGT,2050,6,16,24,4,0.0
259,BG_CCGT,2050,7,6,10,2,0.0
260,BG_CCGT,2050,7,11,15,3,0.0
261,BG_CCGT,2050,7,16,24,4,0.0
262,BG_CCGT,2050,8,6,10,2,0.0
