id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_su_sd_eq_units_on_diff
54,AT_CCGT,2030,8,16,18,6,0.0
55,AT_CCGT,2030,8,19,21,7,0.0
56,AT_CCGT,2030,8,22,24,8,0.0
57,AT_CCGT,2030,9,4,6,2,0.0
58,AT_CCGT,2030,9,7,9,3,0.0
59,AT_CCGT,2030,9,10,12,4,0.0
60,AT_CCGT,2030,9,13,15,5,0.0
61,AT_CCGT,2030,9,16,18,6,0.0
62,AT_CCGT,2030,9,19,21,7,0.0
63,AT_CCGT,2030,9,22,24,8,0.0
64,AT_CCGT,2030,10,4,6,2,0.0
65,AT_CCGT,2030,10,7,9,3,0.0
66,AT_CCGT,2030,10,10,12,4,0.0
67,AT_CCGT,2030,10,13,15,5,0.0
68,AT_CCGT,2030,10,16,18,6,0.0
69,AT_CCGT,2030,10,19,21,7,0.0
70,AT_CCGT,2030,10,22,24,8,0.0
71,AT_Coal,2030,1,4,6,2,0.0
72,AT_Coal,2030,1,7,9,3,0.0
73,AT_Coal,2030,1,10,12,4,0.0
74,AT_Coal,2030,1,13,15,5,0.0
75,AT_Coal,2030,1,16,18,6,0.0
76,AT_Coal,2030,1,19,21,7,0.0
77,AT_Coal,2030,1,22,24,8,0.0
78,AT_Coal,2030,2,4,6,2,0.0
79,AT_Coal,2030,2,7,9,3,0.0
80,AT_Coal,2030,2,10,12,4,0.0
81,AT_Coal,2030,2,13,15,5,0.0
82,AT_Coal,2030,2,16,18,6,0.0
83,AT_Coal,2030,2,19,21,7,0.0
84,AT_Coal,2030,2,22,24,8,0.0
85,AT_Coal,2030,3,4,6,2,0.0
86,AT_Coal,2030,3,7,9,3,0.0
87,AT_Coal,2030,3,10,12,4,0.0
88,AT_Coal,2030,3,13,15,5,0.0
89,AT_Coal,2030,3,16,18,6,0.0
90,AT_Coal,2030,3,19,21,7,0.0
91,AT_Coal,2030,3,22,24,8,0.0
92,AT_Coal,2030,4,4,6,2,0.0
93,AT_Coal,2030,4,7,9,3,0.0
94,AT_Coal,2030,4,10,12,4,0.0
95,AT_Coal,2030,4,13,15,5,0.0
96,AT_Coal,2030,4,16,18,6,0.0
97,AT_Coal,2030,4,19,21,7,0.0
98,AT_Coal,2030,4,22,24,8,0.0
99,AT_Coal,2030,5,4,6,2,0.0
100,AT_Coal,2030,5,7,9,3,0.0
101,AT_Coal,2030,5,10,12,4,0.0
102,AT_Coal,2030,5,13,15,5,0.0
103,AT_Coal,2030,5,16,18,6,0.0
104,AT_Coal,2030,5,19,21,7,0.0
105,AT_Coal,2030,5,22,24,8,0.0
106,AT_Coal,2030,6,4,6,2,0.0
107,AT_Coal,2030,6,7,9,3,0.0
108,AT_Coal,2030,6,10,12,4,0.0
109,AT_Coal,2030,6,13,15,5,0.0
110,AT_Coal,2030,6,16,18,6,0.0
111,AT_Coal,2030,6,19,21,7,0.0
112,AT_Coal,2030,6,22,24,8,0.0
113,AT_Coal,2030,7,4,6,2,0.0
114,AT_Coal,2030,7,7,9,3,0.0
115,AT_Coal,2030,7,10,12,4,0.0
116,AT_Coal,2030,7,13,15,5,0.0
117,AT_Coal,2030,7,16,18,6,0.0
118,AT_Coal,2030,7,19,21,7,0.0
119,AT_Coal,2030,7,22,24,8,0.0
120,AT_Coal,2030,8,4,6,2,0.0
121,AT_Coal,2030,8,7,9,3,0.0
122,AT_Coal,2030,8,10,12,4,0.0
123,AT_Coal,2030,8,13,15,5,0.0
124,AT_Coal,2030,8,16,18,6,0.0
125,AT_Coal,2030,8,19,21,7,0.0
126,AT_Coal,2030,8,22,24,8,0.0
127,AT_Coal,2030,9,4,6,2,0.0
128,AT_Coal,2030,9,7,9,3,0.0
129,AT_Coal,2030,9,10,12,4,0.0
130,AT_Coal,2030,9,13,15,5,0.0
131,AT_Coal,2030,9,16,18,6,0.0
132,AT_Coal,2030,9,19,21,7,0.0
133,AT_Coal,2030,9,22,24,8,0.0
134,AT_Coal,2030,10,4,6,2,0.0
135,AT_Coal,2030,10,7,9,3,0.0
136,AT_Coal,2030,10,10,12,4,0.0
137,AT_Coal,2030,10,13,15,5,0.0
138,AT_Coal,2030,10,16,18,6,0.0
139,AT_Coal,2030,10,19,21,7,0.0
140,AT_Coal,2030,10,22,24,8,0.0
141,AT_Nuclear,2030,1,4,6,2,0.0
142,AT_Nuclear,2030,1,7,9,3,0.0
143,AT_Nuclear,2030,1,10,12,4,0.0
144,AT_Nuclear,2030,1,13,15,5,0.0
145,AT_Nuclear,2030,1,16,18,6,0.0
146,AT_Nuclear,2030,1,19,21,7,0.0
147,AT_Nuclear,2030,1,22,24,8,0.0
148,AT_Nuclear,2030,2,4,6,2,0.0
149,AT_Nuclear,2030,2,7,9,3,0.0
150,AT_Nuclear,2030,2,10,12,4,0.0
151,AT_Nuclear,2030,2,13,15,5,0.0
152,AT_Nuclear,2030,2,16,18,6,0.0
153,AT_Nuclear,2030,2,19,21,7,0.0
154,AT_Nuclear,2030,2,22,24,8,0.0
155,AT_Nuclear,2030,3,4,6,2,0.0
156,AT_Nuclear,2030,3,7,9,3,0.0
157,AT_Nuclear,2030,3,10,12,4,0.0
158,AT_Nuclear,2030,3,13,15,5,0.0
159,AT_Nuclear,2030,3,16,18,6,0.0
160,AT_Nuclear,2030,3,19,21,7,0.0
161,AT_Nuclear,2030,3,22,24,8,0.0
