id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
6049,PT_electrolyzer,2050,5,1,1,1.6900000000000002
6050,PT_electrolyzer,2050,5,2,2,1.6900000000000002
6051,PT_electrolyzer,2050,5,3,3,1.6900000000000002
6052,PT_electrolyzer,2050,5,4,4,1.6899999999999995
6053,PT_electrolyzer,2050,5,5,5,1.6900000000000002
6054,PT_electrolyzer,2050,5,6,6,1.6900000000000002
6055,PT_electrolyzer,2050,5,7,7,1.6900000000000002
6056,PT_electrolyzer,2050,5,8,8,1.6900000000000002
6057,PT_electrolyzer,2050,5,9,9,1.6900000000000002
6058,PT_electrolyzer,2050,5,10,10,1.6899999999999993
6059,PT_electrolyzer,2050,5,11,11,1.1255027210073685
6060,PT_electrolyzer,2050,5,12,12,-0.0
6061,PT_electrolyzer,2050,5,13,13,-0.0
6062,PT_electrolyzer,2050,5,14,14,-0.0
6063,PT_electrolyzer,2050,5,15,15,-0.0
6064,PT_electrolyzer,2050,5,16,16,-0.0
6065,PT_electrolyzer,2050,5,17,17,-0.0
6066,PT_electrolyzer,2050,5,18,18,1.2939062500000005
6067,PT_electrolyzer,2050,5,19,19,1.6900000000000002
6068,PT_electrolyzer,2050,5,20,20,1.6900000000000002
6069,PT_electrolyzer,2050,5,21,21,1.6900000000000002
6070,PT_electrolyzer,2050,5,22,22,1.6900000000000002
6071,PT_electrolyzer,2050,5,23,23,1.6900000000000002
6072,PT_electrolyzer,2050,5,24,24,1.6900000000000002
6073,PT_electrolyzer,2050,6,1,1,0.207
6074,PT_electrolyzer,2050,6,2,2,0.20700000000000002
6075,PT_electrolyzer,2050,6,3,3,0.207
6076,PT_electrolyzer,2050,6,4,4,0.20700000000000002
6077,PT_electrolyzer,2050,6,5,5,0.20699999999999982
6078,PT_electrolyzer,2050,6,6,6,0.207
6079,PT_electrolyzer,2050,6,7,7,0.207
6080,PT_electrolyzer,2050,6,8,8,0.20700000000000002
6081,PT_electrolyzer,2050,6,9,9,-0.0
6082,PT_electrolyzer,2050,6,10,10,-0.0
6083,PT_electrolyzer,2050,6,11,11,-0.0
6084,PT_electrolyzer,2050,6,12,12,-0.0
6085,PT_electrolyzer,2050,6,13,13,-0.0
6086,PT_electrolyzer,2050,6,14,14,-0.0
6087,PT_electrolyzer,2050,6,15,15,-0.0
6088,PT_electrolyzer,2050,6,16,16,-0.0
6089,PT_electrolyzer,2050,6,17,17,-0.0
6090,PT_electrolyzer,2050,6,18,18,-0.0
6091,PT_electrolyzer,2050,6,19,19,-0.0
6092,PT_electrolyzer,2050,6,20,20,0.15848437499999996
6093,PT_electrolyzer,2050,6,21,21,0.207
6094,PT_electrolyzer,2050,6,22,22,0.207
6095,PT_electrolyzer,2050,6,23,23,0.207
6096,PT_electrolyzer,2050,6,24,24,0.207
6097,PT_electrolyzer,2050,7,1,1,1.2024999999999992
6098,PT_electrolyzer,2050,7,2,2,1.2024999999999992
6099,PT_electrolyzer,2050,7,3,3,1.2024999999999997
6100,PT_electrolyzer,2050,7,4,4,1.2024999999999997
6101,PT_electrolyzer,2050,7,5,5,1.2024999999999997
6102,PT_electrolyzer,2050,7,6,6,1.2024999999999997
6103,PT_electrolyzer,2050,7,7,7,1.2024999999999997
6104,PT_electrolyzer,2050,7,8,8,1.2024999999999988
6105,PT_electrolyzer,2050,7,9,9,1.2024999999999997
6106,PT_electrolyzer,2050,7,10,10,0.9206640624999998
6107,PT_electrolyzer,2050,7,11,11,-0.0
6108,PT_electrolyzer,2050,7,12,12,-0.0
6109,PT_electrolyzer,2050,7,13,13,-0.0
6110,PT_electrolyzer,2050,7,14,14,-0.0
6111,PT_electrolyzer,2050,7,15,15,-0.0
6112,PT_electrolyzer,2050,7,16,16,-0.0
6113,PT_electrolyzer,2050,7,17,17,-0.0
6114,PT_electrolyzer,2050,7,18,18,0.4255
6115,PT_electrolyzer,2050,7,19,19,0.9206640624999999
6116,PT_electrolyzer,2050,7,20,20,1.2024999999999992
6117,PT_electrolyzer,2050,7,21,21,1.2024999999999992
6118,PT_electrolyzer,2050,7,22,22,1.2024999999999992
6119,PT_electrolyzer,2050,7,23,23,1.2024999999999992
6120,PT_electrolyzer,2050,7,24,24,1.2024999999999992
6121,PT_electrolyzer,2050,8,1,1,1.0074999999999996
6122,PT_electrolyzer,2050,8,2,2,1.0074999999999996
6123,PT_electrolyzer,2050,8,3,3,1.0074999999999996
6124,PT_electrolyzer,2050,8,4,4,1.0074999999999996
6125,PT_electrolyzer,2050,8,5,5,1.0074999999999996
6126,PT_electrolyzer,2050,8,6,6,1.0074999999999996
6127,PT_electrolyzer,2050,8,7,7,1.0074999999999996
6128,PT_electrolyzer,2050,8,8,8,1.0074999999999996
6129,PT_electrolyzer,2050,8,9,9,0.8906485717193982
6130,PT_electrolyzer,2050,8,10,10,-0.0
6131,PT_electrolyzer,2050,8,11,11,-0.0
6132,PT_electrolyzer,2050,8,12,12,-0.0
6133,PT_electrolyzer,2050,8,13,13,-0.0
6134,PT_electrolyzer,2050,8,14,14,-0.0
6135,PT_electrolyzer,2050,8,15,15,-0.0
6136,PT_electrolyzer,2050,8,16,16,-0.0
6137,PT_electrolyzer,2050,8,17,17,-0.0
6138,PT_electrolyzer,2050,8,18,18,-0.0
6139,PT_electrolyzer,2050,8,19,19,-0.0
6140,PT_electrolyzer,2050,8,20,20,1.0074999999999996
6141,PT_electrolyzer,2050,8,21,21,1.0074999999999996
6142,PT_electrolyzer,2050,8,22,22,1.0074999999999996
6143,PT_electrolyzer,2050,8,23,23,1.0074999999999996
6144,PT_electrolyzer,2050,8,24,24,1.0074999999999996
6145,PT_electrolyzer,2050,9,1,1,1.3975
6146,PT_electrolyzer,2050,9,2,2,1.3975
6147,PT_electrolyzer,2050,9,3,3,1.3975
6148,PT_electrolyzer,2050,9,4,4,1.3975
6149,PT_electrolyzer,2050,9,5,5,1.3975
6150,PT_electrolyzer,2050,9,6,6,1.3975
6151,PT_electrolyzer,2050,9,7,7,1.3975
6152,PT_electrolyzer,2050,9,8,8,1.3975
6153,PT_electrolyzer,2050,9,9,9,1.3975
6154,PT_electrolyzer,2050,9,10,10,1.06469832721898
6155,PT_electrolyzer,2050,9,11,11,-0.0
