asset,commission_year,fixed_cost,fixed_cost_storage_energy,investment_cost,investment_cost_storage_energy,investment_limit,investment_limit_storage_energy,storage_loss_from_stored_energy
PT_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
PT_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
PT_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
PT_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
PT_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
PT_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
HR_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
HR_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
HR_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
HR_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
HR_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
HR_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
HR_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
HR_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
RO_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
RO_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
RO_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
RO_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
RO_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
RO_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
RO_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
RO_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
GR_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
GR_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
GR_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
GR_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
GR_Nuclear,2030,0.0,0.0,5658.0,0.0,,,0.0
GR_CCGT,2030,0.0,0.0,775.0,0.0,,,0.0
GR_OCGT,2030,0.0,0.0,475.0,0.0,,,0.0
GR_Battery,2030,0.0,0.0,146.0,146.0,,,0.0
LV_Solar,2030,0.0,0.0,485.0,0.0,,,0.0
LV_Wind_Onshore,2030,0.0,0.0,1000.0,0.0,,,0.0
LV_Wind_Offshore,2030,0.0,0.0,2580.0,0.0,,,0.0
LV_Coal,2030,0.0,0.0,1500.0,0.0,,,0.0
