commission_year,efficiency,fixed_cost,flow_coefficient_in_capacity_constraint,from_asset,investment_cost,investment_limit,to_asset
2050,1.0,0.0,1.0,LT_CCGT,0,,LT_Balance
2050,1.0,0.0,1.0,LT_OCGT,0,,LT_Balance
2050,1.0,0.0,1.0,LT_Battery,0,,LT_Balance
2050,1.0,0.0,1.0,LT_Balance,0,,LT_Battery
2050,1.0,0.0,1.0,FI_Balance,0,,FI_E_Demand
2050,1.0,0.0,1.0,FI_Solar,0,,FI_Balance
2050,1.0,0.0,1.0,FI_Wind_Onshore,0,,FI_Balance
2050,1.0,0.0,1.0,FI_Wind_Offshore,0,,FI_Balance
2050,1.0,0.0,1.0,FI_Coal,0,,FI_Balance
2050,1.0,0.0,1.0,FI_Nuclear,0,,FI_Balance
2050,1.0,0.0,1.0,FI_CCGT,0,,FI_Balance
2050,1.0,0.0,1.0,FI_OCGT,0,,FI_Balance
2050,1.0,0.0,1.0,FI_Battery,0,,FI_Balance
2050,1.0,0.0,1.0,FI_Balance,0,,FI_Battery
2050,1.0,0.0,1.0,SI_Balance,0,,SI_E_Demand
2050,1.0,0.0,1.0,SI_Solar,0,,SI_Balance
2050,1.0,0.0,1.0,SI_Wind_Onshore,0,,SI_Balance
2050,1.0,0.0,1.0,SI_Wind_Offshore,0,,SI_Balance
2050,1.0,0.0,1.0,SI_Coal,0,,SI_Balance
2050,1.0,0.0,1.0,SI_Nuclear,0,,SI_Balance
2050,1.0,0.0,1.0,SI_CCGT,0,,SI_Balance
2050,1.0,0.0,1.0,SI_OCGT,0,,SI_Balance
2050,1.0,0.0,1.0,SI_Battery,0,,SI_Balance
2050,1.0,0.0,1.0,SI_Balance,0,,SI_Battery
2050,1.0,0.0,1.0,HU_Balance,0,,HU_E_Demand
2050,1.0,0.0,1.0,HU_Solar,0,,HU_Balance
2050,1.0,0.0,1.0,HU_Wind_Onshore,0,,HU_Balance
2050,1.0,0.0,1.0,HU_Wind_Offshore,0,,HU_Balance
2050,1.0,0.0,1.0,HU_Coal,0,,HU_Balance
2050,1.0,0.0,1.0,HU_Nuclear,0,,HU_Balance
2050,1.0,0.0,1.0,HU_CCGT,0,,HU_Balance
2050,1.0,0.0,1.0,HU_OCGT,0,,HU_Balance
2050,1.0,0.0,1.0,HU_Battery,0,,HU_Balance
2050,1.0,0.0,1.0,HU_Balance,0,,HU_Battery
2050,1.0,0.0,1.0,SK_Balance,0,,SK_E_Demand
2050,1.0,0.0,1.0,SK_Solar,0,,SK_Balance
2050,1.0,0.0,1.0,SK_Wind_Onshore,0,,SK_Balance
2050,1.0,0.0,1.0,SK_Wind_Offshore,0,,SK_Balance
2050,1.0,0.0,1.0,SK_Coal,0,,SK_Balance
2050,1.0,0.0,1.0,SK_Nuclear,0,,SK_Balance
2050,1.0,0.0,1.0,SK_CCGT,0,,SK_Balance
2050,1.0,0.0,1.0,SK_OCGT,0,,SK_Balance
2050,1.0,0.0,1.0,SK_Battery,0,,SK_Balance
2050,1.0,0.0,1.0,SK_Balance,0,,SK_Battery
2050,1.0,0.0,1.0,PT_Balance,0,,PT_E_Demand
2050,1.0,0.0,1.0,PT_Solar,0,,PT_Balance
2050,1.0,0.0,1.0,PT_Wind_Onshore,0,,PT_Balance
2050,1.0,0.0,1.0,PT_Wind_Offshore,0,,PT_Balance
2050,1.0,0.0,1.0,PT_Coal,0,,PT_Balance
2050,1.0,0.0,1.0,PT_Nuclear,0,,PT_Balance
2050,1.0,0.0,1.0,PT_CCGT,0,,PT_Balance
2050,1.0,0.0,1.0,PT_OCGT,0,,PT_Balance
2050,1.0,0.0,1.0,PT_Battery,0,,PT_Balance
2050,1.0,0.0,1.0,PT_Balance,0,,PT_Battery
