year,period,rep_period,weight
2030,290,10,1.0
2030,291,10,1.0
2030,292,10,1.0
2030,293,10,1.0
2030,294,10,1.0
2030,295,5,1.0
2030,296,7,1.0
2030,297,10,1.0
2030,298,7,1.0
2030,299,10,1.0
2030,300,10,1.0
2030,301,10,1.0
2030,302,10,1.0
2030,303,10,1.0
2030,304,2,1.0
2030,305,7,1.0
2030,306,7,1.0
2030,307,10,1.0
2030,308,10,1.0
2030,309,10,1.0
2030,310,10,1.0
2030,311,3,1.0
2030,312,3,1.0
2030,313,5,1.0
2030,314,5,1.0
2030,315,5,1.0
2030,316,3,1.0
2030,317,3,1.0
2030,318,5,1.0
2030,319,5,1.0
2030,320,5,1.0
2030,321,5,1.0
2030,322,5,1.0
2030,323,5,1.0
2030,324,5,1.0
2030,325,4,1.0
2030,326,4,1.0
2030,327,10,1.0
2030,328,5,1.0
2030,329,5,1.0
2030,330,2,1.0
2030,331,5,1.0
2030,332,5,1.0
2030,333,5,1.0
2030,334,5,1.0
2030,335,5,1.0
2030,336,3,1.0
2030,337,3,1.0
2030,338,3,1.0
2030,339,3,1.0
2030,340,3,1.0
2030,341,3,1.0
2030,342,3,1.0
2030,343,3,1.0
2030,344,3,1.0
2030,345,3,1.0
2030,346,3,1.0
2030,347,10,1.0
2030,348,10,1.0
2030,349,10,1.0
2030,350,3,1.0
2030,351,3,1.0
2030,352,3,1.0
2030,353,3,1.0
2030,354,3,1.0
2030,355,3,1.0
2030,356,3,1.0
2030,357,3,1.0
2030,358,3,1.0
2030,359,3,1.0
2030,360,3,1.0
2030,361,3,1.0
2030,362,3,1.0
2030,363,3,1.0
2030,364,5,1.0
2030,365,5,1.0
