id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
512,BG_Pump_Hydro_Closed,2050,3,15,16,0.0
513,BG_Pump_Hydro_Closed,2050,3,17,18,0.0
514,BG_Pump_Hydro_Closed,2050,3,19,20,0.0
515,BG_Pump_Hydro_Closed,2050,3,21,22,0.0
516,BG_Pump_Hydro_Closed,2050,3,23,24,0.0
517,BG_Pump_Hydro_Closed,2050,4,1,2,0.0
518,BG_Pump_Hydro_Closed,2050,4,3,4,0.0
519,BG_Pump_Hydro_Closed,2050,4,5,6,0.0
520,BG_Pump_Hydro_Closed,2050,4,7,8,0.0
521,BG_Pump_Hydro_Closed,2050,4,9,10,0.0
522,BG_Pump_Hydro_Closed,2050,4,11,12,0.0
523,BG_Pump_Hydro_Closed,2050,4,13,14,0.0
524,BG_Pump_Hydro_Closed,2050,4,15,16,0.0
525,BG_Pump_Hydro_Closed,2050,4,17,18,0.0
526,BG_Pump_Hydro_Closed,2050,4,19,20,0.0
527,BG_Pump_Hydro_Closed,2050,4,21,22,0.0
528,BG_Pump_Hydro_Closed,2050,4,23,24,0.0
529,BG_Pump_Hydro_Closed,2050,5,1,2,0.0
530,BG_Pump_Hydro_Closed,2050,5,3,4,0.0
531,BG_Pump_Hydro_Closed,2050,5,5,6,0.0
532,BG_Pump_Hydro_Closed,2050,5,7,8,0.0
533,BG_Pump_Hydro_Closed,2050,5,9,10,-0.45452083333333304
534,BG_Pump_Hydro_Closed,2050,5,11,12,-1.0151458333333332
535,BG_Pump_Hydro_Closed,2050,5,13,14,-1.015145833333333
536,BG_Pump_Hydro_Closed,2050,5,15,16,0.0
537,BG_Pump_Hydro_Closed,2050,5,17,18,0.0
538,BG_Pump_Hydro_Closed,2050,5,19,20,0.0
539,BG_Pump_Hydro_Closed,2050,5,21,22,0.0
540,BG_Pump_Hydro_Closed,2050,5,23,24,0.0
541,BG_Pump_Hydro_Closed,2050,6,1,2,0.0
542,BG_Pump_Hydro_Closed,2050,6,3,4,0.0
543,BG_Pump_Hydro_Closed,2050,6,5,6,0.0
544,BG_Pump_Hydro_Closed,2050,6,7,8,0.0
545,BG_Pump_Hydro_Closed,2050,6,9,10,-0.8063854166666666
546,BG_Pump_Hydro_Closed,2050,6,11,12,-0.8063854166666666
547,BG_Pump_Hydro_Closed,2050,6,13,14,-0.8063854166666666
548,BG_Pump_Hydro_Closed,2050,6,15,16,-0.8063854166666666
549,BG_Pump_Hydro_Closed,2050,6,17,18,0.0
550,BG_Pump_Hydro_Closed,2050,6,19,20,0.0
551,BG_Pump_Hydro_Closed,2050,6,21,22,0.0
552,BG_Pump_Hydro_Closed,2050,6,23,24,0.0
553,BG_Pump_Hydro_Closed,2050,7,1,2,0.0
554,BG_Pump_Hydro_Closed,2050,7,3,4,0.0
555,BG_Pump_Hydro_Closed,2050,7,5,6,0.0
556,BG_Pump_Hydro_Closed,2050,7,7,8,0.0
557,BG_Pump_Hydro_Closed,2050,7,9,10,-1.7922187500000006
558,BG_Pump_Hydro_Closed,2050,7,11,12,-1.7922187500000006
559,BG_Pump_Hydro_Closed,2050,7,13,14,-1.7922187500000006
560,BG_Pump_Hydro_Closed,2050,7,15,16,-0.756462790659912
561,BG_Pump_Hydro_Closed,2050,7,17,18,0.0
562,BG_Pump_Hydro_Closed,2050,7,19,20,0.0
563,BG_Pump_Hydro_Closed,2050,7,21,22,0.0
